circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
AT project,ムゲンノ音 infinity note,誓い星,白川りさ,TAKUYA,白川りさ,上海紅茶館　～ Chinese Tea,1,コミックマーケット78
AT project,ムゲンノ音 infinity note,Dreaming Queen,Mary,TAKUYA,Mary,幽雅に咲かせ、墨染の桜　～ Border of Life,2,コミックマーケット78
AT project,ムゲンノ音 infinity note,ネクロファンタジア～永久の調べ～,緋村剛,TAKUYA,緋村剛,ネクロファンタジア,3,コミックマーケット78
AT project,ムゲンノ音 infinity note,君月-KIMITSUKI-,Eriko,TAKUYA,Eriko,千年幻想郷　～ History of the Moon,4,コミックマーケット78
AT project,ムゲンノ音 infinity note,零-ZERO-,Yu-JI,TAKUYA,hachiko,廃獄ララバイ,5,コミックマーケット78
AT project,ムゲンノ音 infinity note,リアルのレシピ,中島満雄,TAKUYA,梅野正和,恋色マスタースパーク,6,コミックマーケット78
AT project,ムゲンノ音 infinity note,誓い星 inst.ver,,TAKUYA,,上海紅茶館　～ Chinese Tea,7,コミックマーケット78
AT project,ムゲンノ音 infinity note,ネクロファンタジア～永久の調べ～ inst.ver,,TAKUYA,,ネクロファンタジア,8,コミックマーケット78
AT project,ムゲンノ音 infinity note,君月-KIMITSUKI- inst.ver,,TAKUYA,,千年幻想郷　～ History of the Moon,9,コミックマーケット78
AT project,ムゲンノ音 infinity note,零-ZERO- inst.ver,,TAKUYA,,廃獄ララバイ,10,コミックマーケット78
