circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
Amateras Records,"Amateras Records Exclusive Disc Winter 2011","失恋色した涙(cittan*Remix)","",,,,1,
Amateras Records,"Amateras Records Exclusive Disc Winter 2011","桜影彩艶","",,,,2,
Amateras Records,"Amateras Records Exclusive Disc Winter 2011","Unemotional Skyscraper",,,,,3,
Amateras Records,"Amateras Records Exclusive Disc Winter 2011","寂しさLeaf","",,,,4,
Amateras Records,"Amateras Records Exclusive Disc Winter 2011","「ただいま」を、「おかえり」を(LiLA'c Remix)","",,,,5,
Amateras Records,"Amateras Records Exclusive Disc Winter 2011","Another Distance(Tracy Remix)","",,,,6,
Amateras Records,"Amateras Records Exclusive Disc Winter 2011","真愛理論","",,,,7,
Amateras Records,"Amateras Records Exclusive Disc Winter 2011","終わり無き空論","",,,,8,
Amateras Records,"Amateras Records Exclusive Disc Winter 2011","誘惑ディナータイム","",,,,9,
Amateras Records,"Amateras Records Exclusive Disc Winter 2011","Everlasting","",,,,10,
