circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
Amateras Records,Unlogical Trick,迷子のPolaris,miko,きりん,海兎,オリエンタルダークフライト,1,コミックマーケット82
Amateras Records,Unlogical Trick,Key Concept,irony,cittan*,海兎,月まで届け、不死の煙,2,コミックマーケット82
Amateras Records,Unlogical Trick,ホシノハジマリ,ほたる,Tracy,海兎,千年幻想郷　～ History of the Moon,3,コミックマーケット82
Amateras Records,Unlogical Trick,Ash Like Snow,めらみぽっぷ,Tomoya,海兎,エクステンドアッシュ　～ 蓬莱人,4,コミックマーケット82
Amateras Records,Unlogical Trick,偽りのAffection,黒崎朔夜,Irus,海兎,ヴォヤージュ1969,5,コミックマーケット82
Amateras Records,Unlogical Trick,Tragic Ending,鹿乃,Tracy,海兎,メイガスナイト,6,コミックマーケット82
Amateras Records,Unlogical Trick,シンプルLogic,りこ。,Tomoya,海兎,プレインエイジア,7,コミックマーケット82
Amateras Records,Unlogical Trick,わがままトリック,KUMI(ヲタみん),Tracy,M.I.O,恋色マスタースパーク,8,コミックマーケット82
Amateras Records,Unlogical Trick,曖昧Never Ending,F9,Blue Twinkle,海兎,竹取飛翔　～ Lunatic Princess,9,コミックマーケット82
Amateras Records,Unlogical Trick,ツキノテラス,ほたる,Tracy,海兎,狂気の瞳　～ Invisible Full Moon,10,コミックマーケット82
