circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
AniPix,innocent,innocent,市松椿:綾倉盟,TAK-sk:hiro.na,市松椿,砕月,1,コミックマーケット75
AniPix,innocent,Precious,綾倉盟,hiro.na:TAK-sk,綾倉盟,ラクトガール　～ 少女密室,2,コミックマーケット75
AniPix,innocent,Ancient Requiem,(｡･ｘ･)ゝ＜b！,TAK-sk:hiro.na,(｡･ｘ･)ゝ＜b！,亡き王女の為のセプテット,3,コミックマーケット75
AniPix,innocent,Purification,綾倉盟,hiro.na:TAK-sk,綾倉盟,運命のダークサイド,4,コミックマーケット75
AniPix,innocent,calling,,spctrm,,信仰は儚き人間の為に,5,コミックマーケット75
AniPix,innocent,Fancy Paranoid,市松椿,TAK-sk:hiro.na,市松椿,ハートフェルトファンシー,6,コミックマーケット75
AniPix,innocent,The 3rd Eye,hiro.na,TAK-sk:hiro.na,綾倉盟,少女さとり　～ 3rd eye,7,コミックマーケット75
AniPix,innocent,"""S""",市松椿,TAK-sk:hiro.na,市松椿,ネクロファンタジア,8,コミックマーケット75
AniPix,innocent,Fillarcage,,TAK-sk:hiro.na,,クリスタライズシルバー,9,コミックマーケット75
AniPix,innocent,Elegy,,hiro.na:TAK-sk,,彼岸帰航　～ Riverside View,10,コミックマーケット75
AniPix,innocent,innocent(no vocal),,TAK-sk:hiro.na,,砕月,11,コミックマーケット75
AniPix,innocent,Precious(no vocal),,hiro.na:TAK-sk,,ラクトガール　～ 少女密室,12,コミックマーケット75
AniPix,innocent,Ancient Requiem(no vocal),,TAK-sk:hiro.na,,亡き王女の為のセプテット,13,コミックマーケット75
