circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
AniPix,Rectia,Intro,,Syrufit,,オリジナル,1,博麗神社例大祭6
AniPix,Rectia,Rectia,綾倉盟:市松椿,Syrufit,綾倉盟,天空のグリニッジ,2,博麗神社例大祭6
AniPix,Rectia,Arc of Dream,綾倉盟,Syrufit,綾倉盟,少女綺想曲　～ Dream Battle,3,博麗神社例大祭6
AniPix,Rectia,Nyx,市松椿,Syrufit,市松椿,フォールオブフォール　～ 秋めく滝,4,博麗神社例大祭6
AniPix,Rectia,Cutey Egoist!!,市松椿,Syrufit,市松椿,恋色マスタースパーク,5,博麗神社例大祭6
AniPix,Rectia,Guilty Princess,綾倉盟,Syrufit,綾倉盟,竹取飛翔　～ Lunatic Princess,6,博麗神社例大祭6
AniPix,Rectia,Worldcode,,Syrufit,,月時計　～ ルナ・ダイアル,7,博麗神社例大祭6
AniPix,Rectia,sigh,,spctrm,,緑眼のジェラシー,8,博麗神社例大祭6
AniPix,Rectia,Hypnotryst,綾倉盟:市松椿,Syrufit,市松椿,死体旅行　～ Be of good cheer!,9,博麗神社例大祭6
AniPix,Rectia,fragile,綾倉盟,Syrufit,綾倉盟,Bad Apple!!,10,博麗神社例大祭6
AniPix,Rectia,Outro(Good Night-mare),,Syrufit,,オリジナル,11,博麗神社例大祭6
