circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
activity,"delight","夏雲","野。",,,,1,
activity,"delight","空想感受精神","野。",,,,2,
activity,"delight","遺失物捜査班","野。",,,,3,
activity,"delight","ヤミイル","野。",,,,4,
activity,"delight","デイライト","野。",,,,5,
activity,"delight","ヨルトリエ","野。",,,,6,
activity,"delight","湖上の妖精","野。",,,,7,
activity,"delight","loop,rope","野。",,,,8,
activity,"delight","春の湊","野。",,,,9,
activity,"delight","星鳴","野。",,,,10,
activity,"delight","Bonus Track","野。",,,,11,
