circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
at the mercy of sounds,Colorful White-カラフルホワイト-,カラフルホワイト,,fratanity,,妖々夢　～ Snow or Cherry Petal,1,第百二十六季 文々。新聞友の会
at the mercy of sounds,Colorful White-カラフルホワイト-,スピードスター射命丸,,fratanity,,あなたの町の怪事件:風神少女:妖怪の山　～ Mysterious Mountain,2,第百二十六季 文々。新聞友の会
at the mercy of sounds,Colorful White-カラフルホワイト-,洩矢さまとダンス,,fratanity,,ネイティブフェイス,3,第百二十六季 文々。新聞友の会
at the mercy of sounds,Colorful White-カラフルホワイト-,まったりん、のんびりん。,,fratanity,,死体旅行　～ Be of good cheer!,4,第百二十六季 文々。新聞友の会
at the mercy of sounds,Colorful White-カラフルホワイト-,幼心地に吹き遊べば,,fratanity,,有頂天変　～ Wonderful Heaven,5,第百二十六季 文々。新聞友の会
at the mercy of sounds,Colorful White-カラフルホワイト-,羽衣は幻想の如く,,fratanity,,黒い海に紅く　～ Legendary Fish,6,第百二十六季 文々。新聞友の会
at the mercy of sounds,Colorful White-カラフルホワイト-,空澄みて、時雨心地,,fratanity,,ティアオイエツォン(withered leaf),7,第百二十六季 文々。新聞友の会
at the mercy of sounds,Colorful White-カラフルホワイト-,ココロの音景,,fratanity,,感情の摩天楼　～ Cosmic Mind:法界の火,8,第百二十六季 文々。新聞友の会
at the mercy of sounds,Colorful White-カラフルホワイト-,相思華,,fratanity,,彼岸帰航　～ Riverside View,9,第百二十六季 文々。新聞友の会
at the mercy of sounds,Colorful White-カラフルホワイト-,開花,,fratanity,,死霊の夜桜,10,第百二十六季 文々。新聞友の会
