circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
at the mercy of sounds,憧憬の地,yukidoke,,fratanity,,春の氷精,1,博麗神社例大祭11
at the mercy of sounds,憧憬の地,春の湊に舟の影 -album mix-,,fratanity,,春の湊に,2,博麗神社例大祭11
at the mercy of sounds,憧憬の地,ばか,,fratanity,,おてんば恋娘の冒険,3,博麗神社例大祭11
at the mercy of sounds,憧憬の地,daisy little,,fratanity,,輝く針の小人族　～ Little Princess,4,博麗神社例大祭11
at the mercy of sounds,憧憬の地,Agartha Wind,,fratanity,,アガルタの風,5,博麗神社例大祭11
at the mercy of sounds,憧憬の地,ほおずきが咲いた,,fratanity,,ほおずきみたいに紅い魂,6,博麗神社例大祭11
at the mercy of sounds,憧憬の地,クレール,,fratanity,,天空の花の都,7,博麗神社例大祭11
at the mercy of sounds,憧憬の地,追憶～interlude～,,fratanity,,,8,博麗神社例大祭11
at the mercy of sounds,憧憬の地,秋嶺細波,,fratanity,,稲田姫様に叱られるから:人恋し神様　～ Romantic Fall,9,博麗神社例大祭11
at the mercy of sounds,憧憬の地,憧憬の地,,fratanity,,不思議な不思議な道具達,10,博麗神社例大祭11
