circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
C-CLAYS,雪月華～SETU GEKKA～ DISC-1,東方妖々夢　～ Ancient Temple,,,,東方妖々夢　～ Ancient Temple,1,コミックマーケット74
C-CLAYS,雪月華～SETU GEKKA～ DISC-1,花映塚　～ Higan Retour,,,,花映塚　～ Higan Retour,2,コミックマーケット74
C-CLAYS,雪月華～SETU GEKKA～ DISC-1,シンデレラゲージ　～ Kagome-Kagome,,,,シンデレラケージ　～ Kagome-Kagome,3,コミックマーケット74
C-CLAYS,雪月華～SETU GEKKA～ DISC-1,彼岸帰航　～ Riverside View,,,,彼岸帰航　～ Riverside View,4,コミックマーケット74
C-CLAYS,雪月華～SETU GEKKA～ DISC-1,明治十七年の上海アリス,,,,明治十七年の上海アリス,5,コミックマーケット74
C-CLAYS,雪月華～SETU GEKKA～ DISC-1,華胥の夢,,,,華胥の夢,6,コミックマーケット74
C-CLAYS,雪月華～SETU GEKKA～ DISC-1,東の国の眠らない夜,,,,東の国の眠らない夜,7,コミックマーケット74
C-CLAYS,雪月華～SETU GEKKA～ DISC-1,ヴォヤージュ1969,,,,ヴォヤージュ1969,8,コミックマーケット74
C-CLAYS,雪月華～SETU GEKKA～ DISC-1,幽玄の槭樹　～ Eternal Dream,,,,Eternal Dream　～ 幽玄の槭樹,9,コミックマーケット74
C-CLAYS,雪月華～SETU GEKKA～ DISC-1,おてんば恋娘の冒険,,,,おてんば恋娘の冒険,10,コミックマーケット74
C-CLAYS,雪月華～SETU GEKKA～ DISC-2,風の循環　～ Wind Tour,,,,風の循環　～ Wind Tour,1,コミックマーケット74
C-CLAYS,雪月華～SETU GEKKA～ DISC-2,天狗の手帖　～ Mysterious Note,,,,天狗の手帖　～ Mysterious Note,2,コミックマーケット74
C-CLAYS,雪月華～SETU GEKKA～ DISC-2,Cloud of Truth,,,,風神少女,3,コミックマーケット74
C-CLAYS,雪月華～SETU GEKKA～ DISC-2,レトロスペクティブ京都,,,,レトロスペクティブ京都,4,コミックマーケット74
C-CLAYS,雪月華～SETU GEKKA～ DISC-2,U.N.オーエンは彼女なのか?,,,,U.N.オーエンは彼女なのか？,5,コミックマーケット74
C-CLAYS,雪月華～SETU GEKKA～ DISC-2,天狗が見ている　～ Black Eyes,,,,天狗が見ている　～ Black Eyes,6,コミックマーケット74
C-CLAYS,雪月華～SETU GEKKA～ DISC-2,フラワリングナイト,,,,フラワリングナイト,7,コミックマーケット74
C-CLAYS,雪月華～SETU GEKKA～ DISC-2,幽雅に咲かせ、墨染の桜,,,,幽雅に咲かせ、墨染の桜　～ Border of Life,8,コミックマーケット74
C-CLAYS,雪月華～SETU GEKKA～ DISC-2,Moon Tale,,,,竹取飛翔　～ Lunatic Princess,9,コミックマーケット74
