circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
C-CLAYS,AGGRESSIVE EMOTION,ドッキドキ Princess,双月彩,tsunamix,双月彩,竹取飛翔　～ Lunatic Princess,1,コミックマーケット78
C-CLAYS,AGGRESSIVE EMOTION,Secret Progress,小峠舞,tsunamix,W*M,恋色マスタースパーク,2,コミックマーケット78
C-CLAYS,AGGRESSIVE EMOTION,Seven Lights-EuroBeat Remix-,小峠舞,tsunamix,天音未優,感情の摩天楼　～ Cosmic Mind,3,コミックマーケット78
C-CLAYS,AGGRESSIVE EMOTION,ユメノカケラ-Aggressive Emotion Mix-,双月彩,tsunamix,双月彩,幽雅に咲かせ、墨染の桜　～ Border of Life,4,コミックマーケット78
C-CLAYS,AGGRESSIVE EMOTION,キオクノカケラ,双月彩,tsunamix,双月彩,オリジナル,5,コミックマーケット78
C-CLAYS,AGGRESSIVE EMOTION,MAHARAJA,,tsunamix,,永夜抄　～ Eastern Night.,6,コミックマーケット78
C-CLAYS,AGGRESSIVE EMOTION,I Want Your Love-Bitter Mix-,,tsunamix,,渡る者の途絶えた橋,7,コミックマーケット78
C-CLAYS,AGGRESSIVE EMOTION,Realize,朱凰,tsunamix,W*M,春の湊に,8,コミックマーケット78
C-CLAYS,AGGRESSIVE EMOTION,dance of colored leaves,野中ひゆ,tsunamix,Lu-na,人恋し神様　～ Romantic Fall,9,コミックマーケット78
C-CLAYS,AGGRESSIVE EMOTION,MAGIC　～ Arrive to the Moon,,tsunamix,,月まで届け、不死の煙,10,コミックマーケット78
C-CLAYS,AGGRESSIVE EMOTION,FEAR,,tsunamix,,封印されし神々,11,コミックマーケット78
C-CLAYS,AGGRESSIVE EMOTION,Again,小峠舞,tsunamix,Lu-na,オリジナル,12,コミックマーケット78
