circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
CHAOS MIXER,"TOHO CHAOS MIX4","教えてカオスミキサー!","",,,,1,
CHAOS MIXER,"TOHO CHAOS MIX4","夜雨","",,,,2,
CHAOS MIXER,"TOHO CHAOS MIX4","フォールオブフォール","",,,,3,
CHAOS MIXER,"TOHO CHAOS MIX4","Boundary of Destiny","",,,,4,
CHAOS MIXER,"TOHO CHAOS MIX4","RotNacht","",,,,5,
CHAOS MIXER,"TOHO CHAOS MIX4","それゆけ!カオスミキサー!つなぎ","",,,,6,
CHAOS MIXER,"TOHO CHAOS MIX4","それゆけ!カオスミキサー!","",,,,7,
CHAOS MIXER,"TOHO CHAOS MIX4","drizzly cafe","",,,,8,
CHAOS MIXER,"TOHO CHAOS MIX4","Where is the book?","",,,,9,
CHAOS MIXER,"TOHO CHAOS MIX4","▼しょうじょゆゆこは ちからつきた・・・～かーらーのー勝利のテーマ～","",,,,10,
CHAOS MIXER,"TOHO CHAOS MIX4","Funny Feast","",,,,11,
CHAOS MIXER,"TOHO CHAOS MIX4","這いよれ!カオスミキサー!つなぎ","",,,,12,
CHAOS MIXER,"TOHO CHAOS MIX4","這いよれ!カオスミキサー!","",,,,13,
CHAOS MIXER,"TOHO CHAOS MIX4","はなびらのまい","",,,,14,
CHAOS MIXER,"TOHO CHAOS MIX4","まけたからたぶんしんだ","",,,,15,
CHAOS MIXER,"TOHO CHAOS MIX4","三月兎","",,,,16,
CHAOS MIXER,"TOHO CHAOS MIX4","人形遣いのお葬式","",,,,17,
CHAOS MIXER,"TOHO CHAOS MIX4","さよなら!カオスミキサー!つなぎ","",,,,18,
CHAOS MIXER,"TOHO CHAOS MIX4","さよなら!カオスミキサー!","",,,,19,
