circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
danmaq,"Leila Prismriver","騒霊サーカス　～ Reverie",,,,,1,
danmaq,"Leila Prismriver","Magic of Life",,,,,2,
danmaq,"Leila Prismriver","空飛ぶ巫女の不思議な毎日",,,,,3,
danmaq,"Leila Prismriver","西方チルドレン",,,,,4,
danmaq,"Leila Prismriver","墨染パァフェクトチェリィブロサム!",,,,,5,
danmaq,"Leila Prismriver","EnigmatiqueDoll　～ 怪人形",,,,,6,
danmaq,"Leila Prismriver","少女秘封倶楽部",,,,,7,
danmaq,"Leila Prismriver","The Legend of KAGE",,,,,8,
danmaq,"Leila Prismriver","過去の花　～ Fairy of Flower",,,,,9,
danmaq,"Leila Prismriver","妖月幻化",,,,,10,
danmaq,"Leila Prismriver","華胥の夢",,,,,11,
danmaq,"Leila Prismriver","輪廻妖精　～ Reincarnation",,,,,12,
danmaq,"Leila Prismriver","蓬莱伝説　～ 終わらない幻想",,,,,13,
