circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
ESQUARIA,EPIC FAITH,Candy★Parade,CHICACO,RUON:CHICACO,ヤヤネヒロコ,明日ハレの日、ケの昨日,1,博麗神社例大祭12
ESQUARIA,EPIC FAITH,Thank you for everything -Clean Tears Remix-,綾倉盟,Clean Tears,海兎,上海紅茶館　～ Chinese Tea,2,博麗神社例大祭12
ESQUARIA,EPIC FAITH,SugaryBlack,,satella,,厄神様の通り道　～ Dark Road,3,博麗神社例大祭12
ESQUARIA,EPIC FAITH,rain or shine,ゆーな,RUON,あおまふ,信仰は儚き人間の為に,4,博麗神社例大祭12
ESQUARIA,EPIC FAITH,Echoes,めらみぽっぷ,RUON,海兎,ネイティブフェイス,5,博麗神社例大祭12
ESQUARIA,EPIC FAITH,DAISAKKAI,,Jerico,,厄神様の通り道　～ Dark Road,6,博麗神社例大祭12
ESQUARIA,EPIC FAITH,シェーレの緑 -kirin Remix-,CHICACO,kirin,ヤヤネヒロコ,渡る者の途絶えた橋,7,博麗神社例大祭12
ESQUARIA,EPIC FAITH,Sceneria,,MYTK,,少女が見た日本の原風景,8,博麗神社例大祭12
ESQUARIA,EPIC FAITH,Echoes -ziki_7 Remix-,めらみぽっぷ,ziki_7,海兎,ネイティブフェイス,9,博麗神社例大祭12
ESQUARIA,EPIC FAITH,Candy★Parade -CYTOKINE Remix-,CHICACO,Linjin,ヤヤネヒロコ,明日ハレの日、ケの昨日,10,博麗神社例大祭12
