circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
EastNewSound,Lyrical Crimson,"STAY HERE,NOT ALONE",葉月なの,黒鳥,Lu-na,上海紅茶館　～ Chinese Tea,1,コミックマーケット75
EastNewSound,Lyrical Crimson,the 4seasons 4u,Tsubaki,raku,いずみん,稲田姫様に叱られるから,2,コミックマーケット75
EastNewSound,Lyrical Crimson,君色マスタースパーク,Lu-na,黒鳥,Lu-na,恋色マスタースパーク,3,コミックマーケット75
EastNewSound,Lyrical Crimson,Ten made to do key!,いずみん,黒鳥,いずみん,月まで届け、不死の煙,4,コミックマーケット75
EastNewSound,Lyrical Crimson,奏で穿て、東雲の彼方へ,Cryu,KOBATYU,いずみん,永遠の巫女,5,コミックマーケット75
EastNewSound,Lyrical Crimson,ザクロは血の味 恋の味,Lu-na,黒鳥,Lu-na,亡き王女の為のセプテット,6,コミックマーケット75
EastNewSound,Lyrical Crimson,幻想郷祭囃子(秋),Tsubaki,Izu,cao.:いずみん,神々が恋した幻想郷,7,コミックマーケット75
EastNewSound,Lyrical Crimson,Together in the sky,前菜,raku,Lu-na,ルーネイトエルフ,8,コミックマーケット75
EastNewSound,Lyrical Crimson,Girl's mind,Lu-na,crouka,Lu-na,ラクトガール　～ 少女密室,9,コミックマーケット75
EastNewSound,Lyrical Crimson,VANISHING POINT「/」,いずみん,黒鳥,いずみん,ネクロファンタジア,10,コミックマーケット75
EastNewSound,Lyrical Crimson,緋色月下、狂咲ノ絶,葉月なの,黒鳥,いずみん:葉月なの,U.N.オーエンは彼女なのか？,11,コミックマーケット75
EastNewSound,Lyrical Crimson,咲き届け、春へ至る音,Cryu,Izu,いずみん,天空の花の都,12,コミックマーケット75
