circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
EastNewSound,Mindless Act,KaNaDE VaRiaTiON,夕月椿,Tracy,海兎,明日ハレの日、ケの昨日,1,博麗神社例大祭10
EastNewSound,Mindless Act,asterisk,築山さえ,raku,海兎,ブクレシュティの人形師,2,博麗神社例大祭10
EastNewSound,Mindless Act,Dear me!,黒崎朔夜,黒鳥,海兎,少女綺想曲　～ Dream Battle,3,博麗神社例大祭10
EastNewSound,Mindless Act,lunareclpse,ほたる,きりん,くまりす,竹取飛翔　～ Lunatic Princess,4,博麗神社例大祭10
EastNewSound,Mindless Act,silvery white,茶太,黒鳥,海兎,クリスタライズシルバー,5,博麗神社例大祭10
EastNewSound,Mindless Act,偽証・証明,紫咲ほたる,Tracy,くまりす,御柱の墓場　～ Grave of Being,6,博麗神社例大祭10
EastNewSound,Mindless Act,Unlimited Colors,Cryu,KOBATYU,海兎,感情の摩天楼　～ Cosmic Mind,7,博麗神社例大祭10
EastNewSound,Mindless Act,binary star,夕月椿,raku,海兎,少女が見た日本の原風景,8,博麗神社例大祭10
EastNewSound,Mindless Act,Urahara ff,紫咲ほたる:夕月椿,きりん,みずよし,狂気の瞳　～ Invisible Full Moon,9,博麗神社例大祭10
EastNewSound,Mindless Act,Lycoris isolation,紫咲ほたる,黒鳥,くまりす,彼岸帰航　～ Riverside View,10,博麗神社例大祭10
EastNewSound,Mindless Act,Hello!,miko,きりん,海兎,妖魔夜行,11,博麗神社例大祭10
