circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
efs,Chaotic Beat,U.N.オーエンは彼女なのか?<Chaotic Beatmix>,,八神将義,,U.N.オーエンは彼女なのか？,1,M3-2006秋
efs,Chaotic Beat,上海紅茶館　～ Chinese Tea<GrooveBox>,葉山りく,八神将義,葉山りく,上海紅茶館　～ Chinese Tea,2,M3-2006秋
efs,Chaotic Beat,フラワリングナイト<cosmicray mix>,,anjin,,フラワリングナイト,3,M3-2006秋
efs,Chaotic Beat,ラクトガール　～ 少女密室<L.E-engine>,阿部左,八神将義,阿部左,ラクトガール　～ 少女密室,4,M3-2006秋
efs,Chaotic Beat,プレインエイジア<神仙神前神戦style>,,うさきち,,プレインエイジア,5,M3-2006秋
efs,Chaotic Beat,東の国の眠らない夜<starlight&waves>,野瀬冬弥,八神将義,野瀬冬弥,東の国の眠らない夜,6,M3-2006秋
efs,Chaotic Beat,もう歌しか聞こえない<discord trance mix>,結城京華,take_de_x,結城京華,もう歌しか聞こえない,7,M3-2006秋
efs,Chaotic Beat,さくらさくら　～ JapanizeDream...<一歩先行く新種の桜>,,うさきち,,さくらさくら　～ Japanize Dream...,8,M3-2006秋
efs,Chaotic Beat,幽霊楽団　～ PhantomEnsemble<Sensitive Drive>,,八神将義,,幽霊楽団　～ Phantom Ensemble,9,M3-2006秋
efs,Chaotic Beat,CrescentDreams<am2:00atmosphere>,,八神将義,,Crescent Dream,10,M3-2006秋
efs,Chaotic Beat,東の国の眠らない夜<instrumental.ver>,,八神将義,,東の国の眠らない夜,11,M3-2006秋
