circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
Foreground Eclipse,"Wishes Hidden In The Foreground Noises","Intro",,,,,1,
Foreground Eclipse,"Wishes Hidden In The Foreground Noises","Vermillion Halo","Merami",,,,2,
Foreground Eclipse,"Wishes Hidden In The Foreground Noises","Oath Of Allegiance","Merami、Teto",,,,3,
Foreground Eclipse,"Wishes Hidden In The Foreground Noises","I'm The Seeker(Maybe Each Your Word Calls For It)","Merami、Teto",,,,4,
Foreground Eclipse,"Wishes Hidden In The Foreground Noises","Dancing With Happiness And Sadness","Merami",,,,5,
Foreground Eclipse,"Wishes Hidden In The Foreground Noises","In A Night When Her Sorrow Resounds Around","Merami、Teto",,,,6,
Foreground Eclipse,"Wishes Hidden In The Foreground Noises","Truths, Ironies, The Secret Lyrics","Merami、Teto",,,,7,
Foreground Eclipse,"Wishes Hidden In The Foreground Noises","Forget Me Not","Merami",,,,8,
Foreground Eclipse,"Wishes Hidden In The Foreground Noises","THE DISTANT JOURNEY TO YOU","Merami、Teto",,,,9,
Foreground Eclipse,"Wishes Hidden In The Foreground Noises","U.N.オーエンは75なのか?","",,,,10,
