circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
Frozen Starfall,Ocean of Blossoms,Sunlight Diamonds (FS Remix),Muffin,Frozen Starfall,Frozen Starfall,稲田姫様に叱られるから,1,コミックマーケット90
Frozen Starfall,Ocean of Blossoms,SCARLET FLOWERS (Kirin Remix),Apple,Kirin,Sasi,フラワリングナイト,2,コミックマーケット90
Frozen Starfall,Ocean of Blossoms,GLITTERING HEART (Syrufit Remix),Sasi,Syrufit,Frozen Starfall,Dream Express,3,コミックマーケット90
Frozen Starfall,Ocean of Blossoms,WAY OF LIFE (FS Remix),Sasi,Frozen Starfall,Frozen Starfall,妖魔夜行,4,コミックマーケット90
Frozen Starfall,Ocean of Blossoms,Tiny Miracle,瑶山百霊,Frozen Starfall,蒼羅杏,魔法少女達の百年祭,5,コミックマーケット90
Frozen Starfall,Ocean of Blossoms,Hiraeth,Selphius,crouka,Selphius,竹取飛翔　～ Lunatic Princess,6,コミックマーケット90
Frozen Starfall,Ocean of Blossoms,Summer Love,Sasi,Frozen Starfall,Frozen Starfall,恋色マスタースパーク,7,コミックマーケット90
Frozen Starfall,Ocean of Blossoms,Fading Blossoms,,Sasi,,天使伝説,8,コミックマーケット90
Frozen Starfall,Ocean of Blossoms,Sunlight Diamonds (FS Remix) [Instrumental Version],,Frozen Starfall,,稲田姫様に叱られるから,9,コミックマーケット90
Frozen Starfall,Ocean of Blossoms,SCARLET FLOWERS (Kirin Remix) [Instrumental Version],,Kirin,,フラワリングナイト,10,コミックマーケット90
Frozen Starfall,Ocean of Blossoms,Tiny Miracle [Instrumental Version],,Frozen Starfall,,魔法少女達の百年祭,11,コミックマーケット90
Frozen Starfall,Ocean of Blossoms,COLORFUL PATH (Extended version),Sasi:Seyari,Frozen Starfall,H*M,春色小径　～ Colorful Path,12,コミックマーケット90
