circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
Frozen Starfall,Sunlight Diamonds,Sunlight Diamonds,Muffin,Frozen Starfall,Frozen Starfall,稲田姫様に叱られるから,1,コミックマーケット89
Frozen Starfall,Sunlight Diamonds,Last Prayer,Apple,Frozen Starfall,Sasi,死霊の夜桜,2,コミックマーケット89
Frozen Starfall,Sunlight Diamonds,Subterannean Festival,Starlight,Frozen Starfall,Frozen Starfall,暗闇の風穴,3,コミックマーケット89
Frozen Starfall,Sunlight Diamonds,Fairy in Love!,Sasi,Frozen Starfall,Sasi,おてんば恋娘,4,コミックマーケット89
Frozen Starfall,Sunlight Diamonds,Mandala,Sasi,Frozen Starfall,Sasi,東方封魔録　～ 浄土曼荼羅,5,コミックマーケット89
Frozen Starfall,Sunlight Diamonds,Another Dimension,,Frozen Starfall,,心綺楼囃子,6,コミックマーケット89
Frozen Starfall,Sunlight Diamonds,Sink into Dreams,Selphius,Frozen Starfall,H*M,平安のエイリアン,7,コミックマーケット89
Frozen Starfall,Sunlight Diamonds,Nostalgia,瑶山百霊,Frozen Starfall,蒼羅杏,夢消失　～ Lost Dream,8,コミックマーケット89
Frozen Starfall,Sunlight Diamonds,Dawning Fantasy,Sasi,NGC3.14,Frozen Starfall,ボーダーオブライフ,9,コミックマーケット89
Frozen Starfall,Sunlight Diamonds,Sternenmeer,Sasi,Frozen Starfall,Sasi,六十年目の東方裁判　～ Fate of Sixty Years,10,コミックマーケット89
