circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
Frozen System Records,"幻夜","約束","",,,,1,
Frozen System Records,"幻夜","無意識の海へ沈みゆく","",,,,2,
Frozen System Records,"幻夜","見果てぬ空","",,,,3,
Frozen System Records,"幻夜","七色未来","",,,,4,
Frozen System Records,"幻夜","蜃気楼の中","",,,,5,
Frozen System Records,"幻夜","天魔狂乱","",,,,6,
Frozen System Records,"幻夜","お燐と行く地獄見学ツアー","",,,,7,
Frozen System Records,"幻夜","鏡花水月","",,,,8,
Frozen System Records,"幻夜","the green eye","",,,,9,
Frozen System Records,"幻夜","約束(offvocal)",,,,,10,
Frozen System Records,"幻夜","無意識の海へ沈みゆく(offvocal)",,,,,11,
Frozen System Records,"幻夜","見果てぬ空(offvocal)",,,,,12,
Frozen System Records,"幻夜","七色未来(offvocal)",,,,,13,
Frozen System Records,"幻夜","蜃気楼の中(offvocal)",,,,,14,
Frozen System Records,"幻夜","天魔狂乱(offvocal)",,,,,15,
Frozen System Records,"幻夜","お燐と行く地獄見学ツアー(offvocal)",,,,,16,
Frozen System Records,"幻夜","鏡花水月(offvocal)",,,,,17,
Frozen System Records,"幻夜","the green eye(offvocal)",,,,,18,
