circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
Halozy,Cosmic Armonica,Cosmic Armonica,,すみじゅん,,花映塚　～ Higan Retour,1,コミックマーケット79
Halozy,Cosmic Armonica,FAntAsIc ImpROmptE,紫咲ほたる,すみじゅん,病-丙,幽霊楽団　～ Phantom Ensemble,2,コミックマーケット79
Halozy,Cosmic Armonica,call for・・・,℃iel,Irus,海兎,メイドと血の懐中時計,3,コミックマーケット79
Halozy,Cosmic Armonica,遥か、遠く、君へ,ほたる,ゆよゆっぺ,ゆよゆっぺ,おてんば恋娘,4,コミックマーケット79
Halozy,Cosmic Armonica,Heart of Night,まめみ,MiYAMO,すみじゅん,フラワリングナイト,5,コミックマーケット79
Halozy,Cosmic Armonica,Dut～うさぎとびすてっぷ～,Tsubaki,すみじゅん,くまりす,狂気の瞳　～ Invisible Full Moon,6,コミックマーケット79
Halozy,Cosmic Armonica,ブンブン☆シャッターチャンス,ななひら,ゆよゆっぺ,ゆよゆっぺ,風神少女　 (Short Version),7,コミックマーケット79
Halozy,Cosmic Armonica,まるばつ小径,nayuta,すみじゅん,くまりす,春色小径　～ Colorful Path,8,コミックマーケット79
Halozy,Cosmic Armonica,源流懐古,ほたる,すみじゅん,くまりす,彼岸帰航　～ Riverside View,9,コミックマーケット79
Halozy,Cosmic Armonica,constant trip,emaru,アサヒ,アサヒ,六十年目の東方裁判　～ Fate of Sixty Years,10,コミックマーケット79
