circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
Halozy,Tonic Triangle-Instrumental-,Tonic Triangle,,すみじゅん,,,1,コミックマーケット81
Halozy,Tonic Triangle-Instrumental-,Shining/STREAM,,すみじゅん,,死霊の夜桜,2,コミックマーケット81
Halozy,Tonic Triangle-Instrumental-,恋のセレナーデ,,すみじゅん,,神々が恋した幻想郷,3,コミックマーケット81
Halozy,Tonic Triangle-Instrumental-,Paranoid Lost,,すみじゅん,,稲田姫様に叱られるから,4,コミックマーケット81
Halozy,Tonic Triangle-Instrumental-,君風,,Irus,,信仰は儚き人間の為に,5,コミックマーケット81
Halozy,Tonic Triangle-Instrumental-,物凄いあややがぶっちゃけ物凄いうた,,すみじゅん,,風神少女　 (Short Version),6,コミックマーケット81
Halozy,Tonic Triangle-Instrumental-,路側帯レアリスム,,ボッチ,,デザイアドライブ,7,コミックマーケット81
Halozy,Tonic Triangle-Instrumental-,SAKURA:Sound,,crouka,,幽雅に咲かせ、墨染の桜　～ Border of Life,8,コミックマーケット81
Halozy,Tonic Triangle-Instrumental-,錯錯乱乱,,アサヒ,,明日ハレの日、ケの昨日,9,コミックマーケット81
Halozy,Tonic Triangle-Instrumental-,49-7,,アサヒ,,素敵な墓場で暮しましょ,10,コミックマーケット81
