circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
IOSYS,ごっすんリミックス ツバイン,ごっすんしていった結果がこれだよ!,,柏木るざりん,,人形裁判　～ 人の形弄びし少女:Romantic Children,1,博麗神社例大祭5
IOSYS,ごっすんリミックス ツバイン,Black Miko Miko Meets Gabba,,DJ TECHNORCH,,人形裁判　～ 人の形弄びし少女:Romantic Children,2,博麗神社例大祭5
IOSYS,ごっすんリミックス ツバイン,Swing Holic Band Mix,,SOUND HOLIC feat. Swing Holic Band,,人形裁判　～ 人の形弄びし少女:Romantic Children,3,博麗神社例大祭5
IOSYS,ごっすんリミックス ツバイン,MARIX REVOLUTIONS,,中矢博元,,人形裁判　～ 人の形弄びし少女:Romantic Children,4,博麗神社例大祭5
IOSYS,ごっすんリミックス ツバイン,どんつー教の野望,,REDALiCE,,人形裁判　～ 人の形弄びし少女:Romantic Children,5,博麗神社例大祭5
IOSYS,ごっすんリミックス ツバイン,OTAKU-ELITE gossun lounge,,D.watt,,人形裁判　～ 人の形弄びし少女:Romantic Children,6,博麗神社例大祭5
IOSYS,ごっすんリミックス ツバイン,釘とあなたと魔法のキノコ,,Shibayan,,人形裁判　～ 人の形弄びし少女:Romantic Children,7,博麗神社例大祭5
IOSYS,ごっすんリミックス ツバイン,やけどしちゃってもしらないぜ,,bassy,,人形裁判　～ 人の形弄びし少女:Romantic Children,8,博麗神社例大祭5
IOSYS,ごっすんリミックス ツバイン,これがあの女のキノコね!,,RoughSketch,,人形裁判　～ 人の形弄びし少女:Romantic Children,9,博麗神社例大祭5
IOSYS,ごっすんリミックス ツバイン,ごっすんのリミックスは小学生までだよねMix,,溝口ゆうま,,人形裁判　～ 人の形弄びし少女:Romantic Children,10,博麗神社例大祭5
IOSYS,ごっすんリミックス ツバイン,Don't stop love's heat,,Tsukasa,,人形裁判　～ 人の形弄びし少女:Romantic Children,11,博麗神社例大祭5
IOSYS,ごっすんリミックス ツバイン,Road to Marisa 2008,,すぺらんかー,,人形裁判　～ 人の形弄びし少女:Romantic Children,12,博麗神社例大祭5
IOSYS,ごっすんリミックス ツバイン,凱旋門でアン・ドゥ・トロワ,,fish tone,,人形裁判　～ 人の形弄びし少女:Romantic Children,13,博麗神社例大祭5
IOSYS,ごっすんリミックス ツバイン,至高のツンデレ,,ARM,,人形裁判　～ 人の形弄びし少女:Romantic Children,14,博麗神社例大祭5
