circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
IOSYS,東方年柄年中,Candid Telling You,葉月ゆら,ぼいど,夕野ヨシミ,春色小径　～ Colorful Path:少女綺想曲　～ Dream Battle,1,コミックマーケット76
IOSYS,東方年柄年中,Club Ibuki in Break All,藤原鞠菜,ぼいど,夕野ヨシミ,Demystify Feast:御伽の国の鬼が島　～ Missing Power,2,コミックマーケット76
IOSYS,東方年柄年中,お人形遊び,あゆ,溝口ゆうま,ひくら,人形裁判　～ 人の形弄びし少女:プラスチックマインド:the Grimoire of Alice,3,コミックマーケット76
IOSYS,東方年柄年中,桜の記憶,梨本悠里,鯛の小骨,鯛の小骨,幽雅に咲かせ、墨染の桜　～ Border of Life,4,コミックマーケット76
IOSYS,東方年柄年中,大空の高みへ～The Legend of TANGO～,夢来,ぼいど,龍波しゅういち,黒い海に紅く　～ Legendary Fish,5,コミックマーケット76
IOSYS,東方年柄年中,雨の日の彼女は。,佐伯佑佳,Tsukasa,GIGYO,ラクトガール　～ 少女密室,6,コミックマーケット76
IOSYS,東方年柄年中,歴史書の笹舟 星と時を越えて,あさな,yohine,kiku,ジャパニーズサーガ:阿礼の子供,7,コミックマーケット76
IOSYS,東方年柄年中,KORINDOH FINAL BAZAAR,龍波しゅういち,D.watt,七条レタス,Magic Shop of Raspberry,8,コミックマーケット76
IOSYS,東方年柄年中,リボンとマタタビとワタシ,山本椛,REDALiCE,龍波しゅういち,ティアオイエツォン(withered leaf):妖々跋扈　～ Who done it!,9,コミックマーケット76
IOSYS,東方年柄年中,お空のニュークリアフュージョン道場,藤枝あかね,ARM,夕野ヨシミ,業火マントル:霊知の太陽信仰　～ Nuclear Fusion,10,コミックマーケット76
IOSYS,東方年柄年中,こんなにかわいいスカーレッツが私のお嬢様なはずがない,ヒナコ,D.watt,ひくら,亡き王女の為のセプテット,11,コミックマーケット76
IOSYS,東方年柄年中,ジンゴー!ジンゴー!,イザベル:岩杉夏,Arima.Y,ひくら,恋色マスタースパーク:風神少女,12,コミックマーケット76
