circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
IOSYS,"東方うたうちれいでん","有頂天マゾヒスティック",,,,,1,
IOSYS,"東方うたうちれいでん","ハートフルネコロマンサー",,,,,2,
IOSYS,"東方うたうちれいでん","大江山ジャイアントスイング",,,,,3,
IOSYS,"東方うたうちれいでん","究極焼肉レストラン!お燐の地獄亭!",,,,,4,
IOSYS,"東方うたうちれいでん","お人形遊び",,,,,5,
IOSYS,"東方うたうちれいでん","お空のニュークリアフュージョン道場",,,,,6,
IOSYS,"東方うたうちれいでん","こんなにかわいいスカーレッツが私のお嬢様なはずがない",,,,,7,
IOSYS,"東方うたうちれいでん","ジンゴー!ジンゴー!",,,,,8,
IOSYS,"東方うたうちれいでん","midnight lightning bolt",,,,,9,
IOSYS,"東方うたうちれいでん","紫雨UNITED まさかのアリス突撃編",,,,,10,
IOSYS,"東方うたうちれいでん","はたてのバッコイ殺人事件",,,,,11,
IOSYS,"東方うたうちれいでん","信撃リザレクション",,,,,12,
IOSYS,"東方うたうちれいでん","Bad Apple&Good Orange",,,,,13,
IOSYS,"東方うたうちれいでん","why I wanna know",,,,,14,
IOSYS,"東方うたうちれいでん","チャンティック三妖精のイタズラ大戦争",,,,,15,
IOSYS,"東方うたうちれいでん","紅い咆哮",,,,,16,
IOSYS,"東方うたうちれいでん","be in love with you",,,,,17,
IOSYS,"東方うたうちれいでん","恋の氷結おてんば湯けむりチルノ温泉",,,,,18,
