circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
IRON ATTACK!,BURN IN HELL,Lullaby of the sinner,,IRON-CHINO,,廃獄ララバイ,1,コミックマーケット83
IRON ATTACK!,BURN IN HELL,BURN IN HELL,勇舞,IRON-CHINO,IRON-CHINO,死体旅行　～ Be of good cheer!,2,コミックマーケット83
IRON ATTACK!,BURN IN HELL,Black&White,勇舞,IRON-CHINO,IRON-CHINO,二色蓮花蝶　～ Ancients,3,コミックマーケット83
IRON ATTACK!,BURN IN HELL,Little Fire Fly,勇舞,IRON-CHINO,IRON-CHINO,幻視の夜　～ Ghostly Eyes,4,コミックマーケット83
IRON ATTACK!,BURN IN HELL,Shiny Night,勇舞,IRON-CHINO,IRON-CHINO,プレインエイジア:エクステンドアッシュ　～ 蓬莱人,5,コミックマーケット83
IRON ATTACK!,BURN IN HELL,Kagome Kagome,,IRON-CHINO,,シンデレラケージ　～ Kagome-Kagome,6,コミックマーケット83
IRON ATTACK!,BURN IN HELL,Rabbilt Foot,勇舞,IRON-CHINO,IRON-CHINO,シンデレラケージ　～ Kagome-Kagome:お宇佐さまの素い幡,7,コミックマーケット83
IRON ATTACK!,BURN IN HELL,Star Dust～LIVE Ver.～,勇舞,IRON-CHINO,IRON-CHINO,星の器　～ Casket of Star,8,コミックマーケット83
IRON ATTACK!,BURN IN HELL,SPARKING～LIVE Ver.～,勇舞,IRON-CHINO,JED:まいなすいょん:IRON,恋色マスタースパーク,9,コミックマーケット83
IRON ATTACK!,BURN IN HELL,BURN IN HELL-Vrrr カラオケ-,,IRON-CHINO,,死体旅行　～ Be of good cheer!,10,コミックマーケット83
IRON ATTACK!,BURN IN HELL,BURN IN HELL-Grrr カラオケ-,勇舞,IRON-CHINO,IRON-CHINO,死体旅行　～ Be of good cheer!,11,コミックマーケット83
