circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
Innocent Key,"叙聖のクオリア","叙聖のクオリア～Subterranean rose～","3L",,,,1,
Innocent Key,"叙聖のクオリア","JUSTICE BLAZE","大瀬良あい",,,,2,
Innocent Key,"叙聖のクオリア","Dance in the Caligo","witch",,,,3,
Innocent Key,"叙聖のクオリア","Eternity Vow","Rayna",,,,4,
Innocent Key,"叙聖のクオリア","地底惨憺劇～Remontant rose～","ココ",,,,5,
Innocent Key,"叙聖のクオリア","心符｢爛壊ノ慟哭｣","ランコ",,,,6,
Innocent Key,"叙聖のクオリア","激闘の追憶-BGM-",,,,,7,
Innocent Key,"叙聖のクオリア","叙聖のクオリア～Subterranean rose～-Instrumental-",,,,,8,
Innocent Key,"叙聖のクオリア","JUSTICE BLAZE-Instrumental-",,,,,9,
Innocent Key,"叙聖のクオリア","Dance in the Caligo-Instrumental-",,,,,10,
Innocent Key,"叙聖のクオリア","Eternity Vow-Instrumental-",,,,,11,
Innocent Key,"叙聖のクオリア","地底惨憺劇～Remontant rose～-Instrumental-",,,,,12,
Innocent Key,"叙聖のクオリア","心符｢爛壊ノ慟哭｣-Instrumental-",,,,,13,
