circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
KURO-HACO Nation,"Touhou Animism","Animism1-galaxy-","",,,,1,
KURO-HACO Nation,"Touhou Animism","Density of Air","",,,,2,
KURO-HACO Nation,"Touhou Animism","Cradle the Heaven","",,,,3,
KURO-HACO Nation,"Touhou Animism","Empty DoLL","",,,,4,
KURO-HACO Nation,"Touhou Animism","Animism2-wind-","",,,,5,
KURO-HACO Nation,"Touhou Animism","PASSIFLORA","",,,,6,
KURO-HACO Nation,"Touhou Animism","死霊の夜桜(ハウス風)","",,,,7,
KURO-HACO Nation,"Touhou Animism","Miracle Resolution","",,,,8,
KURO-HACO Nation,"Touhou Animism","Animism3-earthquake-","",,,,9,
KURO-HACO Nation,"Touhou Animism","Dr?culea","",,,,10,
KURO-HACO Nation,"Touhou Animism","BLACK NEST","",,,,11,
KURO-HACO Nation,"Touhou Animism","サヨナラドリーム","",,,,12,
