circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
Lobgesang,"Strumming 春、幻想郷にてピアノをかき鳴らしてみれば","Introduction for ""Ultimate Truth""","",,,,1,
Lobgesang,"Strumming 春、幻想郷にてピアノをかき鳴らしてみれば","Sonata for ""The Doll Master of Bucuresti""","",,,,2,
Lobgesang,"Strumming 春、幻想郷にてピアノをかき鳴らしてみれば","Fantasia for ""Hiroari Shoots a Monster Bird""","",,,,3,
Lobgesang,"Strumming 春、幻想郷にてピアノをかき鳴らしてみれば","Finale for ""Bloom Nobly, Cherry Blossoms of Sumizome""","",,,,4,
Lobgesang,"Strumming 春、幻想郷にてピアノをかき鳴らしてみれば","Waltz for ""Shanghai Alice of Meiji Seventeenth""","",,,,5,
Lobgesang,"Strumming 春、幻想郷にてピアノをかき鳴らしてみれば","Waltz for ""DarkSide of Fate""","",,,,6,
Lobgesang,"Strumming 春、幻想郷にてピアノをかき鳴らしてみれば","Waltz for ""Onigashima in The Fairyland""","",,,,7,
Lobgesang,"Strumming 春、幻想郷にてピアノをかき鳴らしてみれば","Waltz for ""The Refrain of The Lovely Great War""","",,,,8,
Lobgesang,"Strumming 春、幻想郷にてピアノをかき鳴らしてみれば","Waltz for ""Hellfire Mantle""","",,,,9,
Lobgesang,"Strumming 春、幻想郷にてピアノをかき鳴らしてみれば","Waltz for ""Tomorrow Will Be Special, Yesterday Was Not""","",,,,10,
Lobgesang,"Strumming 春、幻想郷にてピアノをかき鳴らしてみれば","Electronica for ""U.N Owen Was Her?""","",,,,11,
Lobgesang,"Strumming 春、幻想郷にてピアノをかき鳴らしてみれば","Noise for ""Border of Life""","",,,,12,
