circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
M.H.S,東方課金厨,東方課金厨,大瀬良あい:miko:軽巡洋艦ムラちゃん,溝口ゆうま,溝口ゆうま,キャプテン・ムラサ,1,コミックマーケット85
M.H.S,東方課金厨,Regret.～贖罪～,大瀬良あい,溝口ゆうま,溝口ゆうま,ラストリモート,2,コミックマーケット85
M.H.S,東方課金厨,Average in the world,℃iel,溝口ゆうま,溝口ゆうま,幽霊楽団　～ Phantom Ensemble,3,コミックマーケット85
M.H.S,東方課金厨,症例：妖怪少女の箱庭,miko,七誌,八巳,少女さとり　～ 3rd eye,4,コミックマーケット85
M.H.S,東方課金厨,Scarlet Gambler,まめみ,溝口ゆうま,溝口ゆうま,亡き王女の為のセプテット,5,コミックマーケット85
M.H.S,東方課金厨,ALIVE,紫季伊冬耶:平康臣,溝口ゆうま,溝口ゆうま,幽霊楽団　～ Phantom Ensemble,6,コミックマーケット85
M.H.S,東方課金厨,背徳的TERA-Sacrifice,ちろ。:ポレオ,溝口ゆうま,溝口ゆうま,御柱の墓場　～ Grave of Being,7,コミックマーケット85
M.H.S,東方課金厨,BBAがエステで下克上！,大瀬良ババア(17):梨本悠里,void,溝口ゆうま,御柱の墓場　～ Grave of Being,8,コミックマーケット85
M.H.S,東方課金厨,東方課金厨 (inst),,溝口ゆうま,,キャプテン・ムラサ,9,コミックマーケット85
M.H.S,東方課金厨,Regret.～贖罪～ (inst),,溝口ゆうま,,ラストリモート,10,コミックマーケット85
