circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
MA'S ATTACK,"NO LIFE, NO BOMB, GRAZE!!","No Life, No Bomb, GRAZE!!","",,,,1,
MA'S ATTACK,"NO LIFE, NO BOMB, GRAZE!!","ポイズンボディ - Forsaken Doll","",,,,2,
MA'S ATTACK,"NO LIFE, NO BOMB, GRAZE!!","稲田姫様に叱られるから","",,,,3,
MA'S ATTACK,"NO LIFE, NO BOMB, GRAZE!!","クリスタライズシルバー","",,,,4,
MA'S ATTACK,"NO LIFE, NO BOMB, GRAZE!!","運命のダークサイド","",,,,5,
MA'S ATTACK,"NO LIFE, NO BOMB, GRAZE!!","神々が恋した幻想郷","",,,,6,
MA'S ATTACK,"NO LIFE, NO BOMB, GRAZE!!","厄神様の通り道 - Dark Road","",,,,7,
MA'S ATTACK,"NO LIFE, NO BOMB, GRAZE!!","蠢々秋月","",,,,8,
MA'S ATTACK,"NO LIFE, NO BOMB, GRAZE!!","明日ハレの日、ケの昨日","",,,,9,
MA'S ATTACK,"NO LIFE, NO BOMB, GRAZE!!","ブクレシュティの人形師","",,,,10,
MA'S ATTACK,"NO LIFE, NO BOMB, GRAZE!!","砕月","",,,,11,
