circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
MOON GODDESS,"MGまとめの音楽集 その2","東方皇桜記 OPテーマ","",,,,1,
MOON GODDESS,"MGまとめの音楽集 その2","ステージ1 道中テーマ","",,,,2,
MOON GODDESS,"MGまとめの音楽集 その2","ステージ1 犬走 椛のテーマ","",,,,3,
MOON GODDESS,"MGまとめの音楽集 その2","ステージ2 道中テーマ","",,,,4,
MOON GODDESS,"MGまとめの音楽集 その2","ステージ2 秋 穣子のテーマ","",,,,5,
MOON GODDESS,"MGまとめの音楽集 その2","ステージ3 道中テーマ","",,,,6,
MOON GODDESS,"MGまとめの音楽集 その2","ステージ3 ルナサ・プリズムリバーのテーマ","",,,,7,
MOON GODDESS,"MGまとめの音楽集 その2","ステージ4 道中テーマ","",,,,8,
MOON GODDESS,"MGまとめの音楽集 その2","ステージ4 上白沢 慧音のテーマ","",,,,9,
MOON GODDESS,"MGまとめの音楽集 その2","ステージ5 道中テーマ","",,,,10,
MOON GODDESS,"MGまとめの音楽集 その2","ステージ5 博麗 霊夢のテーマ","",,,,11,
MOON GODDESS,"MGまとめの音楽集 その2","カオスステージ 道中テーマ","",,,,12,
MOON GODDESS,"MGまとめの音楽集 その2","カオスステージ 西行寺 幽々子のテーマ","",,,,13,
MOON GODDESS,"MGまとめの音楽集 その2","東方皇桜記 EDテーマ","",,,,14,
MOON GODDESS,"MGまとめの音楽集 その2","「La gavotta della fata di ghiaccio」","",,,,15,
MOON GODDESS,"MGまとめの音楽集 その2","ステージ1 道中テーマ","",,,,16,
MOON GODDESS,"MGまとめの音楽集 その2","ステージ1 キスメのテーマ","",,,,17,
MOON GODDESS,"MGまとめの音楽集 その2","ステージ2 道中テーマ","",,,,18,
MOON GODDESS,"MGまとめの音楽集 その2","ステージ2 真・紅 美鈴のテーマ","",,,,19,
MOON GODDESS,"MGまとめの音楽集 その2","ステージ3 道中テーマ","",,,,20,
MOON GODDESS,"MGまとめの音楽集 その2","ステージ3 鈴仙・優曇華院・イナバのテーマ","",,,,21,
MOON GODDESS,"MGまとめの音楽集 その2","ステージ4 道中テーマ","",,,,22,
MOON GODDESS,"MGまとめの音楽集 その2","ステージ4 八雲 藍のテーマ","",,,,23,
MOON GODDESS,"MGまとめの音楽集 その2","ステージ5 道中テーマ","",,,,24,
MOON GODDESS,"MGまとめの音楽集 その2","ステージ5 伊吹 萃香のテーマ","",,,,25,
MOON GODDESS,"MGまとめの音楽集 その2","カオスステージ 道中テーマ","",,,,26,
MOON GODDESS,"MGまとめの音楽集 その2","カオスステージ 四季映姫・ヤマザナドゥのテーマ","",,,,27,
MOON GODDESS,"MGまとめの音楽集 その2","「Gavotta della neve」","",,,,28,
MOON GODDESS,"MGまとめの音楽集 その2","東方撃煉記 OPテーマ","",,,,29,
MOON GODDESS,"MGまとめの音楽集 その2","ステージ1 道中テーマ","",,,,30,
MOON GODDESS,"MGまとめの音楽集 その2","ステージ1 リリーホワイトのテーマ","",,,,31,
MOON GODDESS,"MGまとめの音楽集 その2","ステージ2 道中テーマ","",,,,32,
MOON GODDESS,"MGまとめの音楽集 その2","ステージ2 村紗 水蜜のテーマ","",,,,33,
MOON GODDESS,"MGまとめの音楽集 その2","ステージ3 道中テーマ","",,,,34,
MOON GODDESS,"MGまとめの音楽集 その2","ステージ3 プリズムリバー三姉妹のテーマ","",,,,35,
MOON GODDESS,"MGまとめの音楽集 その2","ステージ4 道中テーマ","",,,,36,
MOON GODDESS,"MGまとめの音楽集 その2","ステージ4 雲居 一輪&雲山のテーマ","",,,,37,
MOON GODDESS,"MGまとめの音楽集 その2","ステージ5 道中のテーマ","",,,,38,
MOON GODDESS,"MGまとめの音楽集 その2","ステージ5 八坂 神奈子のテーマ","",,,,39,
MOON GODDESS,"MGまとめの音楽集 その2","東方撃煉記 EDテーマ","",,,,40,
MOON GODDESS,"MGまとめの音楽集 その2","穣子ループ","",,,,41,
MOON GODDESS,"MGまとめの音楽集 その2","穣子の憂鬱(笛オンリーバージョン)","",,,,42,
MOON GODDESS,"MGまとめの音楽集 その2","穣子の憂鬱","",,,,43,
