circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
Melodic Taste,"千年幻想交響祭","覚醒のルーミア","",,,,1,
Melodic Taste,"千年幻想交響祭","出撃!グランレイム!!","",,,,2,
Melodic Taste,"千年幻想交響祭","風祝の行進","",,,,3,
Melodic Taste,"千年幻想交響祭","かくて使者は東の国へ","",,,,4,
Melodic Taste,"千年幻想交響祭","藍式舞曲","",,,,5,
Melodic Taste,"千年幻想交響祭","湖上の氷精","",,,,6,
Melodic Taste,"千年幻想交響祭","魔女達のお茶会フライト","",,,,7,
Melodic Taste,"千年幻想交響祭","月のもこもこ遊園地","",,,,8,
Melodic Taste,"千年幻想交響祭","血風伏魔殿","",,,,9,
Melodic Taste,"千年幻想交響祭","冥王降臨","",,,,10,
Melodic Taste,"千年幻想交響祭","紅楼～Scaret Game～","",,,,11,
Melodic Taste,"千年幻想交響祭","千年幻想交響祭","",,,,12,
