circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
Neo Fiction,モノクロ⇒カラー,3 style doll,,sei,,U.N.オーエンは彼女なのか？,1,博麗神社秋季例大祭
Neo Fiction,モノクロ⇒カラー,サブタレイニアンパーティ♪,えみぃ,フジヒサ,フジヒサ,ハルトマンの妖怪少女,2,博麗神社秋季例大祭
Neo Fiction,モノクロ⇒カラー,Last message,YasuMichi,フジヒサ,フジヒサ,いざ、倒れ逝くその時まで,3,博麗神社秋季例大祭
Neo Fiction,モノクロ⇒カラー,Casket of happiness,YasuMichi,フジヒサ,フジヒサ,星の器　～ Casket of Star,4,博麗神社秋季例大祭
Neo Fiction,モノクロ⇒カラー,φ,,sei,,リバースイデオロギー,5,博麗神社秋季例大祭
Neo Fiction,モノクロ⇒カラー,朽ち果ててしまう世界の果てで,YasuMichi,フジヒサ,フジヒサ,ネクロファンタジア,6,博麗神社秋季例大祭
Neo Fiction,モノクロ⇒カラー,fantasic world,YasuMichi,sei,sei,神々が恋した幻想郷,7,博麗神社秋季例大祭
Neo Fiction,モノクロ⇒カラー,Light of the dazzling sun,YasuMichi,フジヒサ,フジヒサ,聖徳伝説　～ True Administrator,8,博麗神社秋季例大祭
Neo Fiction,モノクロ⇒カラー,BATON TOUCH！,,フジヒサ,,春の湊に,9,博麗神社秋季例大祭
Neo Fiction,モノクロ⇒カラー,モノクロ⇒カラー,えみぃ,sei,sei,恋色マスタースパーク,10,博麗神社秋季例大祭
