circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
PPSEïî,"THE NEWEST SFC SOUNDTRACKÅ`å∂ëzãΩï“Å`","BATTLEáT","",,,,1,
PPSEïî,"THE NEWEST SFC SOUNDTRACKÅ`å∂ëzãΩï“Å`","RACKET GIRL","",,,,2,
PPSEïî,"THE NEWEST SFC SOUNDTRACKÅ`å∂ëzãΩï“Å`","BATTLEáW","",,,,3,
PPSEïî,"THE NEWEST SFC SOUNDTRACKÅ`å∂ëzãΩï“Å`","BOSSáT","",,,,4,
PPSEïî,"THE NEWEST SFC SOUNDTRACKÅ`å∂ëzãΩï“Å`","BOSSáU","",,,,5,
PPSEïî,"THE NEWEST SFC SOUNDTRACKÅ`å∂ëzãΩï“Å`","BATTLEáT-strm ver.-","",,,,6,
PPSEïî,"THE NEWEST SFC SOUNDTRACKÅ`å∂ëzãΩï“Å`","RACKET GIRL-strm ver.-","",,,,7,
PPSEïî,"THE NEWEST SFC SOUNDTRACKÅ`å∂ëzãΩï“Å`","BATTLEáW-strm ver.-","",,,,8,
PPSEïî,"THE NEWEST SFC SOUNDTRACKÅ`å∂ëzãΩï“Å`","BOSSáT-strm ver.-","",,,,9,
PPSEïî,"THE NEWEST SFC SOUNDTRACKÅ`å∂ëzãΩï“Å`","BOSSáU-strm ver.-","",,,,10,
