circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
Pizuya's Cell,Merciless Lazuli Rose,Losing your season feat.めらみぽっぷ,めらみぽっぷ,Pizuya's Cell,pizuya,死霊の夜桜,1,コミックマーケット81
Pizuya's Cell,Merciless Lazuli Rose,Plastic mind feat.めらみぽっぷ,めらみぽっぷ,Pizuya's Cell,pizuya,プラスチックマインド,2,コミックマーケット81
Pizuya's Cell,Merciless Lazuli Rose,Past distortion-instrumental-,,Pizuya's Cell,,聖徳伝説　～ True Administrator,3,コミックマーケット81
Pizuya's Cell,Merciless Lazuli Rose,SUPER HOPPING VAMPIRE feat.めらみぽっぷ,めらみぽっぷ,Pizuya's Cell,pizuya,リジッドパラダイス,4,コミックマーケット81
Pizuya's Cell,Merciless Lazuli Rose,Invisibilia door-instrumental-,,Pizuya's Cell,,ラストリモート,5,コミックマーケット81
Pizuya's Cell,Merciless Lazuli Rose,Vitae perspiramur-instrumental-,,Pizuya's Cell,,ハルトマンの妖怪少女,6,コミックマーケット81
Pizuya's Cell,Merciless Lazuli Rose,Dizziness feat.SOPHIA,SOPHIA,Pizuya's Cell,SOPHIA,妖怪裏参道,7,コミックマーケット81
Pizuya's Cell,Merciless Lazuli Rose,Apparition lover feat.3L,3L,Pizuya's Cell,pizuya,緑眼のジェラシー,8,コミックマーケット81
Pizuya's Cell,Merciless Lazuli Rose,Merciless Lazuli Rose feat.めらみぽっぷ,めらみぽっぷ,Pizuya's Cell,pizuya,ハートフェルトファンシー,9,コミックマーケット81
Pizuya's Cell,Merciless Lazuli Rose,DESIREDRIVE feat.SOPHIA,SOPHIA,Pizuya's Cell,SOPHIA,デザイアドライブ,10,コミックマーケット81
Pizuya's Cell,Merciless Lazuli Rose,Losing your season-offvox-,,Pizuya's Cell,,死霊の夜桜,11,コミックマーケット81
Pizuya's Cell,Merciless Lazuli Rose,Plastic mind-offvox-,,Pizuya's Cell,,プラスチックマインド,12,コミックマーケット81
Pizuya's Cell,Merciless Lazuli Rose,DESIREDRIVE-offvox-,,Pizuya's Cell,,デザイアドライブ,13,コミックマーケット81
