circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
Presence∝fTVA,"Presence∝fTVA the 7th","第拾壱番勝負 “変幻戯画""","",,,,1,
Presence∝fTVA,"Presence∝fTVA the 7th","死体旅行 for Prismriver Trio","",,,,2,
Presence∝fTVA,"Presence∝fTVA the 7th","Bagatelle:天空の花の都","",,,,3,
Presence∝fTVA,"Presence∝fTVA the 7th","Fragment幻想曲","",,,,4,
Presence∝fTVA,"Presence∝fTVA the 7th","リーゼロッテの為の狂詩曲「Lunatic tears」","",,,,5,
Presence∝fTVA,"Presence∝fTVA the 7th","Sonatine for little Therese","",,,,6,
Presence∝fTVA,"Presence∝fTVA the 7th","Etude:Dear Friends","",,,,7,
Presence∝fTVA,"Presence∝fTVA the 7th","Castle Walk","",,,,8,
Presence∝fTVA,"Presence∝fTVA the 7th","冥界の奏鳴曲 第一楽章","",,,,9,
Presence∝fTVA,"Presence∝fTVA the 7th","冥界の奏鳴曲 第二楽章","",,,,10,
Presence∝fTVA,"Presence∝fTVA the 7th","冥界の奏鳴曲 第三楽章","",,,,11,
Presence∝fTVA,"Presence∝fTVA the 7th","道の先、空の向こう","",,,,12,
Presence∝fTVA,"Presence∝fTVA the 7th","夕暮れの絹滴、眠りの訪れ。","",,,,13,
Presence∝fTVA,"Presence∝fTVA the 7th","ピアノ独奏 はるかかなた","",,,,14,
Presence∝fTVA,"Presence∝fTVA the 7th","Halbmond","",,,,15,
Presence∝fTVA,"Presence∝fTVA the 7th","Una Atadura","",,,,16,
Presence∝fTVA,"Presence∝fTVA the 7th","Going on　～ Atrach=Nacha","",,,,17,
Presence∝fTVA,"Presence∝fTVA the 7th","魔界極東都市エソテリア","",,,,18,
Presence∝fTVA,"Presence∝fTVA the 7th","魔に魅入られた王達の國","",,,,19,
