circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
QLOCKS,"空の燈と歌う電想弦樂","空の燈と歌う幻想弦樂","",,,,1,
QLOCKS,"空の燈と歌う電想弦樂","2つのピアノの為の「夜桜と幽世の蝶」",,,,,2,
QLOCKS,"空の燈と歌う電想弦樂","ミミズクと帳の夜話",,,,,3,
QLOCKS,"空の燈と歌う電想弦樂","黒銀のラピンヴェラー","",,,,4,
QLOCKS,"空の燈と歌う電想弦樂","Lock of dollWitch",,,,,5,
QLOCKS,"空の燈と歌う電想弦樂","Dansons ? la jeune dame du vampire",,,,,6,
QLOCKS,"空の燈と歌う電想弦樂","桜と悠久の風","",,,,7,
QLOCKS,"空の燈と歌う電想弦樂","空の燈と歌う幻想弦樂-inst-",,,,,8,
QLOCKS,"空の燈と歌う電想弦樂","黒銀のラピンヴェラー-inst-",,,,,9,
QLOCKS,"空の燈と歌う電想弦樂","桜と悠久の風-inst-",,,,,10,
