circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
QLOCKS,"神様はサイコロ遊びをしない","私は銀の矢を放つ","",,,,1,
QLOCKS,"神様はサイコロ遊びをしない","登校風景のパラノイア",,,,,2,
QLOCKS,"神様はサイコロ遊びをしない","酒と鬼ッ娘平均率♪",,,,,3,
QLOCKS,"神様はサイコロ遊びをしない","彼女は紅月の夢を見る","",,,,4,
QLOCKS,"神様はサイコロ遊びをしない","この閉塞した世界から",,,,,5,
QLOCKS,"神様はサイコロ遊びをしない","遥か空を見上げては",,,,,6,
QLOCKS,"神様はサイコロ遊びをしない","セカイノカケラ","",,,,7,
QLOCKS,"神様はサイコロ遊びをしない","Bonus track",,,,,8,
QLOCKS,"神様はサイコロ遊びをしない","私は銀の矢を放つ-karaoke-",,,,,9,
QLOCKS,"神様はサイコロ遊びをしない","彼女は紅月の夢を見る-karaoke-",,,,,10,
QLOCKS,"神様はサイコロ遊びをしない","セカイノカケラ-karaoke-",,,,,11,
