circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
Rolling Contact,"暁牙焔殊-アカツキエンジュ-","ABHOR DAYZ","",,,,1,
Rolling Contact,"暁牙焔殊-アカツキエンジュ-","Psychedelic Life","",,,,2,
Rolling Contact,"暁牙焔殊-アカツキエンジュ-","Trace The Tear","",,,,3,
Rolling Contact,"暁牙焔殊-アカツキエンジュ-","腋レイヴ","",,,,4,
Rolling Contact,"暁牙焔殊-アカツキエンジュ-","Heavy Liqueur Perfume","",,,,5,
Rolling Contact,"暁牙焔殊-アカツキエンジュ-","AGNISIKHA","",,,,6,
Rolling Contact,"暁牙焔殊-アカツキエンジュ-","few-dew","",,,,7,
Rolling Contact,"暁牙焔殊-アカツキエンジュ-","bluebell prank","",,,,8,
Rolling Contact,"暁牙焔殊-アカツキエンジュ-","Ectoplasm Rain","",,,,9,
Rolling Contact,"暁牙焔殊-アカツキエンジュ-","ムゲンジゴク","",,,,10,
Rolling Contact,"暁牙焔殊-アカツキエンジュ-","Thousand-years Tyranny","",,,,11,
Rolling Contact,"暁牙焔殊-アカツキエンジュ-","SQUARE NEEDLE","",,,,12,
Rolling Contact,"暁牙焔殊-アカツキエンジュ-","Selene-Wish to Zeus-","",,,,13,
Rolling Contact,"暁牙焔殊-アカツキエンジュ-","梧桐一葉　～ Fall of Fall","",,,,14,
Rolling Contact,"暁牙焔殊-アカツキエンジュ-","REMILIA","",,,,15,
