circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
Rolling Contact,"HEAVEN's SOUND04","Infinite Dimension","",,,,1,
Rolling Contact,"HEAVEN's SOUND04","Dubbed ""Utopia""","",,,,2,
Rolling Contact,"HEAVEN's SOUND04","Get More Trance","",,,,3,
Rolling Contact,"HEAVEN's SOUND04","From Satellite","",,,,4,
Rolling Contact,"HEAVEN's SOUND04","Crack of Dawn","",,,,5,
Rolling Contact,"HEAVEN's SOUND04","Feel From You","",,,,6,
Rolling Contact,"HEAVEN's SOUND04","Bass In Your Faith","",,,,7,
Rolling Contact,"HEAVEN's SOUND04","Xenophile Plus(2013 Remaster)","",,,,8,
Rolling Contact,"HEAVEN's SOUND04","S Free(2013 Remaster)","",,,,9,
Rolling Contact,"HEAVEN's SOUND04","Nexuscape","",,,,10,
