circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
SEA SPARROWS,"Scarlet Symphonia","宙色マスタースパーク","",,,,1,
SEA SPARROWS,"Scarlet Symphonia","E.R in HOSPITAL ICU mix","",,,,2,
SEA SPARROWS,"Scarlet Symphonia","All living's utopia","",,,,3,
SEA SPARROWS,"Scarlet Symphonia","-萃-","",,,,4,
SEA SPARROWS,"Scarlet Symphonia","HAPPY HAPPY HUSION","",,,,5,
SEA SPARROWS,"Scarlet Symphonia","hallucination","",,,,6,
SEA SPARROWS,"Scarlet Symphonia","Black Eyes～Dream Trance mix～","",,,,7,
SEA SPARROWS,"Scarlet Symphonia","さくらさくら　～ japanize Dream...House mix","",,,,8,
SEA SPARROWS,"Scarlet Symphonia","Voyage 2009 NEW AGE MOON mix","",,,,9,
SEA SPARROWS,"Scarlet Symphonia","the criminal doll","",,,,10,
SEA SPARROWS,"Scarlet Symphonia","For My Princess","",,,,11,
