circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
SJV-SC,"Real Crossing","神さびた古戦場　～ Suwa Foughten Field","",,,,1,
SJV-SC,"Real Crossing","神々が恋した幻想郷","",,,,2,
SJV-SC,"Real Crossing","フォールオブフォール　～ 秋めく滝","",,,,3,
SJV-SC,"Real Crossing","人恋し神様　～ Romantic Fall","",,,,4,
SJV-SC,"Real Crossing","稲田姫様に叱られるから","",,,,5,
SJV-SC,"Real Crossing","少女が見た日本の原風景","",,,,6,
SJV-SC,"Real Crossing","芥川龍之介の河童　～ Candid Friend","",,,,7,
SJV-SC,"Real Crossing","妖怪の山　～ Mysterious Mountain","",,,,8,
SJV-SC,"Real Crossing","信仰は儚き人間の為に","",,,,9,
SJV-SC,"Real Crossing","厄神様の通り道　～ Darc Road","",,,,10,
SJV-SC,"Real Crossing","神は恵みの雨を降らす　～ Sylphid Dream","",,,,11,
SJV-SC,"Real Crossing","プレイヤーズスコア","",,,,12,
