circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
SOUND HOLIC,SOUND HOLIC MEETS TOHO～東方的編曲音源集～,Welcome 2 SDHC,,Neiziro,,花映塚　～ Higan Retour,1,
SOUND HOLIC,SOUND HOLIC MEETS TOHO～東方的編曲音源集～,OTB GAL Mix,,Neiziro,,おてんば恋娘,2,
SOUND HOLIC,SOUND HOLIC MEETS TOHO～東方的編曲音源集～,P.S. Iz C Owen?,,Y.A.S.,,U.N.オーエンは彼女なのか？,3,
SOUND HOLIC,SOUND HOLIC MEETS TOHO～東方的編曲音源集～,U Gotta Grooove!!,,SHU,,幽雅に咲かせ、墨染の桜　～ Border of Life,4,
SOUND HOLIC,SOUND HOLIC MEETS TOHO～東方的編曲音源集～,No don't u mess around..go,,Akira-Kun feat. Toshiko,,風神少女　 (Short Version),5,
SOUND HOLIC,SOUND HOLIC MEETS TOHO～東方的編曲音源集～,Quartet des Geists,,Geist Jazz Band,,幽霊楽団　～ Phantom Ensemble,6,
SOUND HOLIC,SOUND HOLIC MEETS TOHO～東方的編曲音源集～,Piano Variation for Remilia Scarlet,,Yu-ko,,亡き王女の為のセプテット,7,
SOUND HOLIC,SOUND HOLIC MEETS TOHO～東方的編曲音源集～,Nel-low Fantasista,,Hisashi,,ネクロファンタジア,8,
SOUND HOLIC,SOUND HOLIC MEETS TOHO～東方的編曲音源集～,Lorelei　～ eine Sage vom Rhein,,Masato Kobayashi,,もう歌しか聞こえない　～ Flower Mix,9,
SOUND HOLIC,SOUND HOLIC MEETS TOHO～東方的編曲音源集～,Coda,,Sachi,,花は幻想のままに,10,
