circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
SOUND HOLIC,幻想★あ・ら・もーどⅡ,Mysterious Note,,MasKaleido,,天狗の手帖　～ Mysterious Note,1,博麗神社例大祭10
SOUND HOLIC,幻想★あ・ら・もーどⅡ,SCAPEGOAT BOY,Nana Takahashi,MasKaleido,Blue E,亡き王女の為のセプテット,2,博麗神社例大祭10
SOUND HOLIC,幻想★あ・ら・もーどⅡ,有頂天子,ユリカ,MasKaleido,Blue E,有頂天変　～ Wonderful Heaven,3,博麗神社例大祭10
SOUND HOLIC,幻想★あ・ら・もーどⅡ,Nobody's gonna stop my regret,709sec.,MasKaleido,Blue E,エクステンドアッシュ　～ 蓬莱人,4,博麗神社例大祭10
SOUND HOLIC,幻想★あ・ら・もーどⅡ,Parsee,きゃろ,MasKaleido,Blue E,緑眼のジェラシー:渡る者の途絶えた橋,5,博麗神社例大祭10
SOUND HOLIC,幻想★あ・ら・もーどⅡ,佐渡ノ団三郎,A～YA,MasKaleido,Blue E,妖怪裏参道:佐渡の二ッ岩,6,博麗神社例大祭10
SOUND HOLIC,幻想★あ・ら・もーどⅡ,萃夢-SUIMU-,Nana Takahashi,MasKaleido,Blue E,東方萃夢想,7,博麗神社例大祭10
SOUND HOLIC,幻想★あ・ら・もーどⅡ,Sunny days,3L,MasKaleido,Blue E,信仰は儚き人間の為に,8,博麗神社例大祭10
SOUND HOLIC,幻想★あ・ら・もーどⅡ,PHANTOMスタイル,CALEN,MasKaleido,Blue E,天空の花の都:幽霊楽団　～ Phantom Ensemble,9,博麗神社例大祭10
SOUND HOLIC,幻想★あ・ら・もーどⅡ,Yama-Xanadu,Nana Takahashi,MasKaleido,Blue E,六十年目の東方裁判　～ Fate of Sixty Years,10,博麗神社例大祭10
SOUND HOLIC,幻想★あ・ら・もーどⅡ,小傘物語,SYO,MasKaleido,Blue E,万年置き傘にご注意を,11,博麗神社例大祭10
