circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
SOUND HOLIC,妖夢-YOUMU-,雪月妖花,,SOUND HOLIC,,妖々夢　～ Snow or Cherry Petal,1,コミックマーケット84
SOUND HOLIC,妖夢-YOUMU-,NECRO MEISTER,Nana Takahashi:709sec.,SHU:GUCCI,Blue E,ネクロファンタジア,2,コミックマーケット84
SOUND HOLIC,妖夢-YOUMU-,愛のジルバ,709sec.,709sec.,Blue E,幽霊楽団　～ Phantom Ensemble,3,コミックマーケット84
SOUND HOLIC,妖夢-YOUMU-,マヨヒガノモリ,3L,MasKaleido,Blue E,遠野幻想物語:ティアオイエツォン(withered leaf),4,コミックマーケット84
SOUND HOLIC,妖夢-YOUMU-,Monsters Parade,A～YA,Swing Holic Band,Blue E,妖々跋扈　～ Who done it!,5,コミックマーケット84
SOUND HOLIC,妖夢-YOUMU-,Regenerated Blue,aki,隣人,隣人,天空の花の都,6,コミックマーケット84
SOUND HOLIC,妖夢-YOUMU-,絡繰りドール,Nana Takahashi,MasKaleido,Blue E,ブクレシュティの人形師:人形裁判　～ 人の形弄びし少女,7,コミックマーケット84
SOUND HOLIC,妖夢-YOUMU-,Snow Whisper,SYO:きゃろ,panoman,Blue E,無何有の郷　～ Deep Mountain:クリスタライズシルバー,8,コミックマーケット84
SOUND HOLIC,妖夢-YOUMU-,春色ガーデン,Nana Takahashi,Nana Takahashi,Nana Takahashi,東方妖々夢　～ Ancient Temple:広有射怪鳥事　～ Till When?,9,コミックマーケット84
SOUND HOLIC,妖夢-YOUMU-,妖狐伝承,ユリカ,8STYLE,Blue E,妖々跋扈:少女幻葬　～ Necro-Fantasy,10,コミックマーケット84
SOUND HOLIC,妖夢-YOUMU-,死蝶-Swallowtail-,Nana Takahashi:709sec.,MasKaleido,Blue E,幽雅に咲かせ、墨染の桜　～ Border of Life,11,コミックマーケット84
SOUND HOLIC,妖夢-YOUMU-,Sakura Dreams,CALEN,zikee,Blue E,春風の夢:さくらさくら　～ Japanize Dream…,12,コミックマーケット84
