circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
SWING HOLIC,VOL.01,"9 o'clock @bar ""EASTSIDE""",,Swing Holic Band,,封印されし神々,1,サンシャインクリエイション39
SWING HOLIC,VOL.01,The Wonderland,A～YA,Swing Holic Band,GUCCI,神々が恋した幻想郷,2,サンシャインクリエイション39
SWING HOLIC,VOL.01,Swingin' Drunk Drinkin',,Swing Holic Band,,ネイティブフェイス,3,サンシャインクリエイション39
SWING HOLIC,VOL.01,Eternal Brightness,A～YA,Swing Holic Band,A～YA,麓の神社,4,サンシャインクリエイション39
SWING HOLIC,VOL.01,"Rainy Day, Rainy Sky",,Swing Holic Band,,フォールオブフォール　～ 秋めく滝,5,サンシャインクリエイション39
SWING HOLIC,VOL.01,Graveyard On Bossa,,Swing Holic Band,,御柱の墓場　～ Grave of Being,6,サンシャインクリエイション39
SWING HOLIC,VOL.01,平成河童大系 8bit Jz mix,Shihori,Swing Holic Band,Yassie,芥川龍之介の河童　～ Candid Friend,7,サンシャインクリエイション39
SWING HOLIC,VOL.01,A DELUSION-迷妄- Another Take,A～YA,Swing Holic Band,panoman,信仰は儚き人間の為に,8,サンシャインクリエイション39
SWING HOLIC,VOL.01,Wings of butterflies,A～YA,Swing Holic Band,A～YA,運命のダークサイド,9,サンシャインクリエイション39
SWING HOLIC,VOL.01,Life is but A sweet Game...,,Swing Holic Band,,少女が見た日本の原風景,10,サンシャインクリエイション39
