circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
Silly Walker,六十番目の東方再盤 DISC-1,Fancy Full Moon(Lunatixx Remixx),小宮真央,t+pazolite,,シンデレラケージ　～ Kagome-Kagome:狂気の瞳　～ Invisible Full Moon,1,博麗神社例大祭4
Silly Walker,六十番目の東方再盤 DISC-1,きみのゆめなら死ねる,メカみろむぅ,すぺらんかー,,少女綺想曲　～ Dream Battle,2,博麗神社例大祭4
Silly Walker,六十番目の東方再盤 DISC-1,Chen-Chen-Stray,,ビートまりお,,ティアオイエツォン(withered leaf),3,博麗神社例大祭4
Silly Walker,六十番目の東方再盤 DISC-1,萃まりしは鬼唄下,,篠螺悠那,,東方萃夢想,4,博麗神社例大祭4
Silly Walker,六十番目の東方再盤 DISC-1,フラワリングオールナイト,,すぺらんかー,,フラワリングナイト,5,博麗神社例大祭4
Silly Walker,六十番目の東方再盤 DISC-1,ブクレシュティの雪上開花,,ねこみみ魔法使い,,ブクレシュティの人形師,6,博麗神社例大祭4
Silly Walker,六十番目の東方再盤 DISC-1,おでんぱ恋娘,,すぺらんかー,,おてんば恋娘,7,博麗神社例大祭4
Silly Walker,六十番目の東方再盤 DISC-1,Riverside View(Kingdom Of Heaven Remix),,Thanatos,,彼岸帰航　～ Riverside View,8,博麗神社例大祭4
Silly Walker,六十番目の東方再盤 DISC-1,上海紅茶館　～ Beyond style,,STCn,,上海紅茶館　～ Chinese Tea,9,博麗神社例大祭4
Silly Walker,六十番目の東方再盤 DISC-1,Electro Bug,,Ryo Ohnuki,,蠢々秋月　～ Mooned Insect,10,博麗神社例大祭4
Silly Walker,六十番目の東方再盤 DISC-1,遠いどこかのさくら,みろみろ☆むむ,すぺらんかー,,幽雅に咲かせ、墨染の桜　～ Border of Life:広有射怪鳥事　～ Till When?,11,博麗神社例大祭4
Silly Walker,六十番目の東方再盤 DISC-1,Bye Bye Whiterock Traffic,,Glome,,クリスタライズシルバー,12,博麗神社例大祭4
Silly Walker,六十番目の東方再盤 DISC-1,Relic of Sixty Years,,ziki_7,,六十年目の東方裁判　～ Fate of Sixty Years,13,博麗神社例大祭4
Silly Walker,六十番目の東方再盤 DISC-2,うどんげ渋谷に行きてゐ!,小宮真央,youith,,シンデレラケージ　～ Kagome-Kagome:狂気の瞳　～ Invisible Full Moon,1,博麗神社例大祭4
Silly Walker,六十番目の東方再盤 DISC-2,成層圏と風の道標,メカみろむぅ,guna,,天空の花の都,2,博麗神社例大祭4
Silly Walker,六十番目の東方再盤 DISC-2,223の煙,みろみろ☆むむ,すぺらんかー,,月まで届け、不死の煙,3,博麗神社例大祭4
Silly Walker,六十番目の東方再盤 DISC-2,さいしょのつぼみ,,908,,花映塚　～ Higan Retour,4,博麗神社例大祭4
Silly Walker,六十番目の東方再盤 DISC-2,平成十八年の横浜幻想郷,,すぺらんかー,,明治十七年の上海アリス,5,博麗神社例大祭4
Silly Walker,六十番目の東方再盤 DISC-2,跳ね馬みたいに紅い魂,,naotyu-,,ほおずきみたいに紅い魂,6,博麗神社例大祭4
Silly Walker,六十番目の東方再盤 DISC-2,クリスタライズホッパー,,すぺらんかー,,クリスタライズシルバー,7,博麗神社例大祭4
Silly Walker,六十番目の東方再盤 DISC-2,しらたま!,,すぺらんかー,,東方妖々夢　～ Ancient Temple,8,博麗神社例大祭4
Silly Walker,六十番目の東方再盤 DISC-2,Clearly Calling from Imperishable Night,,TakeponG,,もう歌しか聞こえない:シンデレラケージ　～ Kagome-Kagome:夜雀の歌声　～ Night Bird:幻視の夜　～ Ghostly Eyes,9,博麗神社例大祭4
Silly Walker,六十番目の東方再盤 DISC-2,"voyage(to the ""moon"")",,908,,ヴォヤージュ1969,10,博麗神社例大祭4
Silly Walker,六十番目の東方再盤 DISC-2,リグル・モーニング,小宮真央,すぺらんかー,,蠢々秋月　～ Mooned Insect,11,博麗神社例大祭4
Silly Walker,六十番目の東方再盤 DISC-2,Withered Leaf(Storms Remix),,Thanatos,,ティアオイエツォン(withered leaf),12,博麗神社例大祭4
Silly Walker,六十番目の東方再盤 DISC-2,cerisier,,すぺらんかー,,さくらさくら　～ Japanize Dream...,13,博麗神社例大祭4
Silly Walker,六十番目の東方再盤 DISC-2,夜想夢ニ儚ヒ輪廻,,ねこみみ魔法使い,,六十年目の東方裁判　～ Fate of Sixty Years,14,博麗神社例大祭4
