circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
Silly Walker,いつかきっと、幻想郷,ワンダーランド,小宮真央,すぺらんかー,板井逢智,春色小径　～ Colorful Path,1,博麗神社例大祭4
Silly Walker,いつかきっと、幻想郷,NRGize It!,,t+pazolite,,無何有の郷　～ Deep Mountain,2,博麗神社例大祭4
Silly Walker,いつかきっと、幻想郷,Chitose,,すぺらんかー,,千年幻想郷　～ History of the Moon,3,博麗神社例大祭4
Silly Walker,いつかきっと、幻想郷,Hitomi Magic,,DJ☆Uith,,狂気の瞳　～ Invisible Full Moon,4,博麗神社例大祭4
Silly Walker,いつかきっと、幻想郷,ethtronica,,ziki_7,,妖々夢　～ Snow or Cherry Petal,5,博麗神社例大祭4
Silly Walker,いつかきっと、幻想郷,G3KA4(noisy mix),,STCn,,亡き王女の為のセプテット,6,博麗神社例大祭4
Silly Walker,いつかきっと、幻想郷,Silly Walker AM Radio,,Silly Walker,,東方妖怪小町,7,博麗神社例大祭4
Silly Walker,いつかきっと、幻想郷,ミルキー,,すぺらんかー,,オリエンタルダークフライト,8,博麗神社例大祭4
Silly Walker,いつかきっと、幻想郷,Flowering Night(Dancin' Tribal Remix),,Thanatos,,フラワリングナイト,9,博麗神社例大祭4
Silly Walker,いつかきっと、幻想郷,Strange Story,,Ryo Ohnuki,,遠野幻想物語,10,博麗神社例大祭4
Silly Walker,いつかきっと、幻想郷,Enter The Riverside World,,TakeponG,,彼岸帰航　～ Riverside View,11,博麗神社例大祭4
Silly Walker,いつかきっと、幻想郷,鬼鬼灯灯鬼灯灯,,すぺらんかー,,ほおずきみたいに紅い魂,12,博麗神社例大祭4
