circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
Sonic Hybrid Orchestra,"TOHO TEMPEST áX","IntrouctionÅ@Å` Fiesta of Children","",,,,1,
Sonic Hybrid Orchestra,"TOHO TEMPEST áX","The Native Faith","",,,,2,
Sonic Hybrid Orchestra,"TOHO TEMPEST áX","Bridge No One Passes","",,,,3,
Sonic Hybrid Orchestra,"TOHO TEMPEST áX","Journey of the Dead","",,,,4,
Sonic Hybrid Orchestra,"TOHO TEMPEST áX","Heart Felt Fancy","",,,,5,
Sonic Hybrid Orchestra,"TOHO TEMPEST áX","Lullaby from Forgotten Hell","",,,,6,
Sonic Hybrid Orchestra,"TOHO TEMPEST áX","Faith Saving Nobody","",,,,7,
Sonic Hybrid Orchestra,"TOHO TEMPEST áX","Green Eyed Jealousy","",,,,8,
Sonic Hybrid Orchestra,"TOHO TEMPEST áX","Sometime Sun Shines, Somtime Rain Falls","",,,,9,
Sonic Hybrid Orchestra,"TOHO TEMPEST áX","3rd Eye Reading Into Someone's Heart","",,,,10,
Sonic Hybrid Orchestra,"TOHO TEMPEST áX","The Nuclear Fusion","",,,,11,
Sonic Hybrid Orchestra,"TOHO TEMPEST áX","Dreaming for Future Sun","",,,,12,
