circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
Sound CYCLONE,"‹tŒõ Silhouette of the sound","introduction-‹tŒõ-","",,,,1,
Sound CYCLONE,"‹tŒõ Silhouette of the sound","Two of Us-Album Ver.-","",,,,2,
Sound CYCLONE,"‹tŒõ Silhouette of the sound","involved","",,,,3,
Sound CYCLONE,"‹tŒõ Silhouette of the sound","Back Blight","",,,,4,
Sound CYCLONE,"‹tŒõ Silhouette of the sound","ephemeral","",,,,5,
Sound CYCLONE,"‹tŒõ Silhouette of the sound","ƒRƒRƒƒmƒXƒLƒ}-Advanced Resonance MIX-","",,,,6,
Sound CYCLONE,"‹tŒõ Silhouette of the sound","FOB TONE","",,,,7,
Sound CYCLONE,"‹tŒõ Silhouette of the sound","ƒZƒsƒA‚Ì‹•‘œ","",,,,8,
Sound CYCLONE,"‹tŒõ Silhouette of the sound","Rock Climbing-T.M Love Ver.-","",,,,9,
Sound CYCLONE,"‹tŒõ Silhouette of the sound","115/7","",,,,10,
Sound CYCLONE,"‹tŒõ Silhouette of the sound","Two of Us-Pilgrim Remix-","",,,,11,
Sound CYCLONE,"‹tŒõ Silhouette of the sound","outroduction-–éŒõ-","",,,,12,
