circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
Sound CYCLONE,"feat.RIZE","サウサイのテーマ!!","",,,,1,
Sound CYCLONE,"feat.RIZE","Scat in a Secret Room","",,,,2,
Sound CYCLONE,"feat.RIZE","Drive to the Blanc Castle","",,,,3,
Sound CYCLONE,"feat.RIZE","Noise to Tale","",,,,4,
Sound CYCLONE,"feat.RIZE","And Then There Were None","",,,,5,
Sound CYCLONE,"feat.RIZE","No Girl,No cry","",,,,6,
Sound CYCLONE,"feat.RIZE","Regret of The Scarlet","",,,,7,
Sound CYCLONE,"feat.RIZE","Purple Slitは雨に濡れて","",,,,8,
Sound CYCLONE,"feat.RIZE","Moisture Girl","",,,,9,
Sound CYCLONE,"feat.RIZE","Simple Reasons","",,,,10,
