circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
Sound CYCLONE,"東方モテタイ2012","東方モテタイ2012のテーマ","",,,,1,
Sound CYCLONE,"東方モテタイ2012","Alice so Cute!　～ silent night ver.","",,,,2,
Sound CYCLONE,"東方モテタイ2012","I would love to very very MOTETAI","",,,,3,
Sound CYCLONE,"東方モテタイ2012","MOTETAI 2012","",,,,4,
Sound CYCLONE,"東方モテタイ2012","踊る非リア充(TV size ver.)","",,,,5,
Sound CYCLONE,"東方モテタイ2012","東方モテナイ","",,,,6,
Sound CYCLONE,"東方モテタイ2012","イイガカリサフォケイション","",,,,7,
Sound CYCLONE,"東方モテタイ2012","モテタイブルー","",,,,8,
Sound CYCLONE,"東方モテタイ2012","モテたくて","",,,,9,
Sound CYCLONE,"東方モテタイ2012","モテのイナズマ","",,,,10,
Sound CYCLONE,"東方モテタイ2012","意識高いクズ「存在が鋭利やん?」","",,,,11,
Sound CYCLONE,"東方モテタイ2012","誰彼ワンナイト","",,,,12,
