circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
Sound Online,Heavenly Sequence DISC-1,outrider,三澤秋,矢鴇つかさ,三澤秋,キャプテン・ムラサ,1,コミックマーケット78
Sound Online,Heavenly Sequence DISC-1,amiss reflection,美里,矢鴇つかさ,三澤秋,the Grimoire of Alice,2,コミックマーケット78
Sound Online,Heavenly Sequence DISC-1,Rainy Bird,佳織みちる,矢鴇つかさ,佳織みちる,プラスチックマインド,3,コミックマーケット78
Sound Online,Heavenly Sequence DISC-1,惑いの月,3L,矢鴇つかさ,三澤秋,少女さとり　～ 3rd eye,4,コミックマーケット78
Sound Online,Heavenly Sequence DISC-1,pretium,miko,矢鴇つかさ,佳織みちる,Strawberry Crisis!!,5,コミックマーケット78
Sound Online,Heavenly Sequence DISC-1,nirvaaNa butterfly,坂上なち,矢鴇つかさ,SAYACA,法界の火,6,コミックマーケット78
Sound Online,Heavenly Sequence DISC-1,The story of departure,Seri,矢鴇つかさ,Seri,少女幻葬　～ Necro-Fantasy,7,コミックマーケット78
Sound Online,Heavenly Sequence DISC-2,Civilization of Magic,コツキミヤ,Masayoshi Minoshima,Haruka,Civilization of Magic,1,コミックマーケット78
Sound Online,Heavenly Sequence DISC-2,Fly me to your dream,Shihori,ELEMENTAS,ELEMENTAS,夜の鳩山を飛ぶ‐Power Mix,2,コミックマーケット78
Sound Online,Heavenly Sequence DISC-2,ひらり,茶太,Morrigan,茶太,幽雅に咲かせ、墨染の桜　～ Border of Life,3,コミックマーケット78
Sound Online,Heavenly Sequence DISC-2,破邪の小太刀,なつみ,NYO,なつみ,破邪の小太刀,4,コミックマーケット78
Sound Online,Heavenly Sequence DISC-2,Nemesis,仲村芽衣子,五条下位,黒岩サトシ,神さびた古戦場　～ Suwa Foughten Field,5,コミックマーケット78
Sound Online,Heavenly Sequence DISC-2,-儚- Little Moon Night,月子,Tatsh,愛羽薫,蠢々秋月　～ Mooned Insect,6,コミックマーケット78
Sound Online,Heavenly Sequence DISC-2,月輝希譚,lily-an,kaztora,Peko,竹取飛翔　～ Lunatic Princess,7,コミックマーケット78
