circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
Stratosphere,"蛙鳴戯文-ケロちゃん風評被害に負けず-","土着神は夕暮れに鳴く","",,,,1,
Stratosphere,"蛙鳴戯文-ケロちゃん風評被害に負けず-","未知なる一歩","",,,,2,
Stratosphere,"蛙鳴戯文-ケロちゃん風評被害に負けず-","閑閑会議","",,,,3,
Stratosphere,"蛙鳴戯文-ケロちゃん風評被害に負けず-","薄氷","",,,,4,
Stratosphere,"蛙鳴戯文-ケロちゃん風評被害に負けず-","スニーキングミッション","",,,,5,
Stratosphere,"蛙鳴戯文-ケロちゃん風評被害に負けず-","ケロちゃん日照りに負けず","",,,,6,
Stratosphere,"蛙鳴戯文-ケロちゃん風評被害に負けず-","つないだ右手と空の左手","",,,,7,
Stratosphere,"蛙鳴戯文-ケロちゃん風評被害に負けず-","フォールイントゥフォール","",,,,8,
Stratosphere,"蛙鳴戯文-ケロちゃん風評被害に負けず-","白昼の流れ星","",,,,9,
Stratosphere,"蛙鳴戯文-ケロちゃん風評被害に負けず-","神々は紙面に踊れ","",,,,10,
Stratosphere,"蛙鳴戯文-ケロちゃん風評被害に負けず-","信義大戦","",,,,11,
Stratosphere,"蛙鳴戯文-ケロちゃん風評被害に負けず-","土着神は暁に鳴く","",,,,12,
