circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
signum/ii,INVITATION SiGN,INVITATION SiGN,irony,cittan*,あおまふ,亡き王女の為のセプテット,1,博麗神社例大祭9
signum/ii,INVITATION SiGN,Sync About,小松菜,きりん,cittan*,感情の摩天楼　～ Cosmic Mind,2,博麗神社例大祭9
signum/ii,INVITATION SiGN,秀美の具現,鹿乃,Blue Twinkle,cittan*,少女さとり　～ 3rd eye,3,博麗神社例大祭9
signum/ii,INVITATION SiGN,望郷の桜花-Differences-,黒崎朔夜,Tracy,cittan*,幽雅に咲かせ、墨染の桜　～ Border of Life,4,博麗神社例大祭9
signum/ii,INVITATION SiGN,Scarlet Abyss,小森ゆな,cittan*,cittan*,ラクトガール　～ 少女密室,5,博麗神社例大祭9
signum/ii,INVITATION SiGN,Autumn flow,,cobalt green,,フォールオブフォール　～ 秋めく滝,6,博麗神社例大祭9
signum/ii,INVITATION SiGN,Finally here(signum/ii Remix),℃iel,cittan*,海兎,ハルトマンの妖怪少女,7,博麗神社例大祭9
signum/ii,INVITATION SiGN,Howling Faith,,XIO,,ネイティブフェイス,8,博麗神社例大祭9
signum/ii,INVITATION SiGN,曇り硝子の答えでも,月子,cittan*,cittan*,砕月,9,博麗神社例大祭9
signum/ii,INVITATION SiGN,枷と小鳥と,結月そら,cittan*,cittan*,素敵な墓場で暮しましょ,10,博麗神社例大祭9
