circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
TAMUSIC,"ピアノのための東方夜想曲集「Redemption」","もう歌しか聞こえない",,,,,1,
TAMUSIC,"ピアノのための東方夜想曲集「Redemption」","懐かしき東方の血　～ Old World",,,,,2,
TAMUSIC,"ピアノのための東方夜想曲集「Redemption」","恋色マスタースパーク",,,,,3,
TAMUSIC,"ピアノのための東方夜想曲集「Redemption」","シンデレラケージ　～ Kagome-Kagome",,,,,4,
TAMUSIC,"ピアノのための東方夜想曲集「Redemption」","ヴォヤージュ1969～1970",,,,,5,
TAMUSIC,"ピアノのための東方夜想曲集「Redemption」","千年幻想郷　～ History of the Moon",,,,,6,
TAMUSIC,"ピアノのための東方夜想曲集「Redemption」","竹取飛翔　～ Lunatic Princess",,,,,7,
TAMUSIC,"ピアノのための東方夜想曲集「Redemption」","エクステンドアッシュ　～ 蓬莱人",,,,,8,
TAMUSIC,"ピアノのための東方夜想曲集「Redemption」","月まで届け、不死の煙",,,,,9,
TAMUSIC,"ピアノのための東方夜想曲集「Redemption」","東方妖怪小町",,,,,10,
