circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
TUMENECO VS GET IN THE RING,Another World2,その唄の名は・・・,yukina、みぃ,,,,1,
TUMENECO VS GET IN THE RING,Another World2,リバーフェイス,みぃ,,,,2,
TUMENECO VS GET IN THE RING,Another World2,幻想百鬼夜行抄,yukina,,,,3,
TUMENECO VS GET IN THE RING,Another World2,ポラリス featuring.みぃ,みぃ,,,,4,
TUMENECO VS GET IN THE RING,Another World2,祭り彩る featuring.yukina,yukina,,,,5,
TUMENECO VS GET IN THE RING,Another World2,永遠幻想 ver.W,yukina、みぃ,,,,6,
TUMENECO VS GET IN THE RING,Another World2,雪琥珀-snow amber- Remix,yukina、みぃ,,,,7,
TUMENECO VS GET IN THE RING,Another World2,Graveyard Memory　～ ユメガタリ,みぃ、yukina,,,,8,
TUMENECO VS GET IN THE RING,Another World2,その唄の名は・・・(inst ver.),,,,,9,
TUMENECO VS GET IN THE RING,Another World2,リバーフェイス(inst ver.),,,,,10,
TUMENECO VS GET IN THE RING,Another World2,幻想百鬼夜行抄(inst ver.),,,,,11,
