circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
TatshMusicCircle,FAR EAST OF EASTⅡ,Introduction Music Crystal at 2nd EAST,,Tatsh,,,1,コミックマーケット77
TatshMusicCircle,FAR EAST OF EASTⅡ,FOUR SEASONS OF LONELINESS,サリヤ人,Tatsh,愛羽薫,感情の摩天楼　～ Cosmic Mind,2,コミックマーケット77
TatshMusicCircle,FAR EAST OF EASTⅡ,MADNESS IMAGER,,Tatsh,,霊知の太陽信仰　～ Nuclear Fusion,3,コミックマーケット77
TatshMusicCircle,FAR EAST OF EASTⅡ,Aqua Voyage,Ne;on,MasayukiHino:Tatsh,愛羽薫,キャプテン・ムラサ,4,コミックマーケット77
TatshMusicCircle,FAR EAST OF EASTⅡ,Eternal Wind,葉月ゆら,Tatsh,愛羽薫,信仰は儚き人間の為に,5,コミックマーケット77
TatshMusicCircle,FAR EAST OF EASTⅡ,CROSS GRUDGE,,Tatsh,,法界の火,6,コミックマーケット77
TatshMusicCircle,FAR EAST OF EASTⅡ,Layzer Scream,,Tatsh,,虎柄の毘沙門天,7,コミックマーケット77
TatshMusicCircle,FAR EAST OF EASTⅡ,Mysterious Apple!!,,Tatsh,,Bad Apple!!,8,コミックマーケット77
TatshMusicCircle,FAR EAST OF EASTⅡ,Floating Darkness...,月子,Tatsh,愛羽薫,平安のエイリアン,9,コミックマーケット77
TatshMusicCircle,FAR EAST OF EASTⅡ,風姿華傳,,Tatsh,,,10,コミックマーケット77
