circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
the blankets,"100%","バケネコ★ロックンロール","",,,,1,
the blankets,"100%","騒霊パンクス","",,,,2,
the blankets,"100%","ひまわり畑でつかまえて","",,,,3,
the blankets,"100%","White&Red","",,,,4,
the blankets,"100%","My name is melancholy","",,,,5,
the blankets,"100%","Raindrops","",,,,6,
the blankets,"100%","FEELING!!","",,,,7,
the blankets,"100%","カメリア","",,,,8,
the blankets,"100%","Hello,My Dear!!","",,,,9,
the blankets,"100%","Monster Girls","",,,,10,
the blankets,"100%","Bonus Track","",,,,11,
