circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
UNDEAD CORPORATION,私はもう死んでいる?,Death is just the beginning,,パインツリー,,リジッドパラダイス,1,コミックマーケット80
UNDEAD CORPORATION,私はもう死んでいる?,Revived,朱美:ウェストヴィレッジ,パインツリー,朱美:ウェストヴィレッジ:パインツリー,リジッドパラダイス,2,コミックマーケット80
UNDEAD CORPORATION,私はもう死んでいる?,Adore Your Pain,朱美:ウェストヴィレッジ,パインツリー,朱美:ウェストヴィレッジ:パインツリー,ハートフェルトファンシー,3,コミックマーケット80
UNDEAD CORPORATION,私はもう死んでいる?,Bleak Land,朱美:ウェストヴィレッジ,パインツリー,朱美:ウェストヴィレッジ:パインツリー,天空の花の都,4,コミックマーケット80
UNDEAD CORPORATION,私はもう死んでいる?,The core,朱美:ウェストヴィレッジ,パインツリー,朱美,平安のエイリアン,5,コミックマーケット80
UNDEAD CORPORATION,私はもう死んでいる?,and Say Good Bye・・・,朱美:ウェストヴィレッジ,パインツリー,朱美:ウェストヴィレッジ:パインツリー,妖魔夜行,6,コミックマーケット80
UNDEAD CORPORATION,私はもう死んでいる?,Without the end,,パインツリー,,妖魔夜行,7,コミックマーケット80
UNDEAD CORPORATION,私はもう死んでいる?,幽し者へ feat.めらみぽっぷ,めらみぽっぷ,パインツリー,パイン,幽霊楽団　～ Phantom Ensemble,8,コミックマーケット80
UNDEAD CORPORATION,私はもう死んでいる?,夜だから眠れない(赤あんこうヴァージョン),朱美:ウェストヴィレッジ,パインツリー,朱美:ウェストヴィレッジ:パインツリー,夜だから眠れない,13,コミックマーケット80
UNDEAD CORPORATION,私はもう死んでいる?,幽し者へ(スクリーム off ヴァージョン),めらみぽっぷ,パインツリー,パイン,幽霊楽団　～ Phantom Ensemble,69,コミックマーケット80
