circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
ZEЯMA,千劫ヒーロー,ハロー、霊魂,,小林ハヤシ,,欲深き霊魂,1,博麗神社例大祭12
ZEЯMA,千劫ヒーロー,死んで花実が咲くものだ,,小林ハヤシ,,死霊の夜桜:ゴーストリード,2,博麗神社例大祭12
ZEЯMA,千劫ヒーロー,今夜はぎゃーてー,,小林ハヤシ,,妖怪寺へようこそ,3,博麗神社例大祭12
ZEЯMA,千劫ヒーロー,声、声、声。,,小林ハヤシ,,門前の妖怪小娘,4,博麗神社例大祭12
ZEЯMA,千劫ヒーロー,素敵なお墓がおうちでしょ,,小林ハヤシ,,素敵な墓場で暮しましょ,5,博麗神社例大祭12
ZEЯMA,千劫ヒーロー,今日死体、明日も死体,,小林ハヤシ,,リジッドパラダイス,6,博麗神社例大祭12
ZEЯMA,千劫ヒーロー,世界でいちばん欲しいもの,,小林ハヤシ,,デザイアドライブ,7,博麗神社例大祭12
ZEЯMA,千劫ヒーロー,ユアンシェン急行,,小林ハヤシ,,古きユアンシェン,8,博麗神社例大祭12
ZEЯMA,千劫ヒーロー,政　～救世の光は誰が為に,,小林ハヤシ,,夢殿大祀廟:大神神話伝:小さな欲望の星空:聖徳伝説　～ True Administrator:デザイアドリーム:神社の新しい風,9,博麗神社例大祭12
ZEЯMA,千劫ヒーロー,十曲目の序曲　～これで終わりだがな！,,小林ハヤシ,,妖怪裏参道:佐渡の二ッ岩,10,博麗神社例大祭12
