circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
ZYTOKINE,DEATH,STYX,aki,隣人,隣人,彼岸帰航　～ Riverside View,1,東方紅楼夢10
ZYTOKINE,DEATH,I.N.F.E.R.N.O,cold kiss,隣人,隣人,六十年目の東方裁判　～ Fate of Sixty Years,2,東方紅楼夢10
ZYTOKINE,DEATH,HYPERSONIC DEADLY TOUR,nachi,隣人,隣人,死体旅行　～ Be of good cheer!,3,東方紅楼夢10
ZYTOKINE,DEATH,ABNORMAL PHENOMEN,itori,隣人,隣人,幽霊楽団　～ Phantom Ensemble,4,東方紅楼夢10
ZYTOKINE,DEATH,PERIOD.,aki,隣人,隣人,リジッドパラダイス,5,東方紅楼夢10
ZYTOKINE,DEATH,DEAD SOULS,cold kiss,隣人,隣人,キャプテン・ムラサ,6,東方紅楼夢10
ZYTOKINE,DEATH,FADING MEMORIES,aki,隣人,隣人,死霊の夜桜,7,東方紅楼夢10
ZYTOKINE,DEATH,さまよう刃,cold kiss,隣人,隣人,広有射怪鳥事　～ Till When?,8,東方紅楼夢10
ZYTOKINE,DEATH,E.N.D -Everybody Needs Death-,,隣人,,素敵な墓場で暮しましょ,9,東方紅楼夢10
ZYTOKINE,DEATH,"DEATHANDREBIRTH - Camellia's ""DEADLYREVIVE"" Remix",,Camellia,,素敵な墓場で暮しましょ,10,東方紅楼夢10
