circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
いえろ～ぜぶら,東方儚航路,Journey,,柏木るざりん,,,1,コミックマーケット80
いえろ～ぜぶら,東方儚航路,13 Billion stars,藤宮ゆき,柏木るざりん,柏木るざりん,車椅子の未来宇宙,2,コミックマーケット80
いえろ～ぜぶら,東方儚航路,いろはにほへと,藤宮ゆき,柏木るざりん,柏木るざりん,魔術師メリー,3,コミックマーケット80
いえろ～ぜぶら,東方儚航路,虫籠のFairy,藤宮ゆき,柏木るざりん,柏木るざりん,竹取飛翔　～ Lunatic Princess,4,コミックマーケット80
いえろ～ぜぶら,東方儚航路,望郷,藤宮ゆき,柏木るざりん,柏木るざりん,月まで届け、不死の煙,5,コミックマーケット80
いえろ～ぜぶら,東方儚航路,スキマツアーズ,藤宮ゆき,柏木るざりん,柏木るざりん,ネクロファンタジア,6,コミックマーケット80
いえろ～ぜぶら,東方儚航路,夏が終わるまでに,藤宮ゆき,柏木るざりん,柏木るざりん,魔法少女十字軍,7,コミックマーケット80
いえろ～ぜぶら,東方儚航路,さよならスプートニク,藤宮ゆき,柏木るざりん,柏木るざりん,衛星カフェテラス,8,コミックマーケット80
いえろ～ぜぶら,東方儚航路,"9,999,999 years",藤宮ゆき,柏木るざりん,柏木るざりん,U.N.オーエンは彼女なのか？,9,コミックマーケット80
いえろ～ぜぶら,東方儚航路,Voyage,,柏木るざりん,,,10,コミックマーケット80
